CTUID,Geography,Total - Sex,  Male,  Female
5350528.21,0528.21 (5350528.21)   00000 (  3.5%),4355,2045,2315
5350528.22,0528.22 (5350528.22)   00000 (  2.1%),6545,3300,3245
5350528.24,0528.24 (5350528.24)   00000 (  2.1%),5235,2540,2700
5350528.25,0528.25 (5350528.25)   00000 (  3.8%),7715,3645,4070
5350528.26,0528.26 (5350528.26)   00000 (  2.7%),5325,2435,2890
5350528.31,0528.31 (5350528.31)   00000 (  4.9%),6330,3055,3280
5350528.32,0528.32 (5350528.32)   00000 (  1.7%),4195,2140,2050
5350528.33,0528.33 (5350528.33)   00000 (  1.9%),6445,3245,3195
5350528.34,0528.34 (5350528.34)   00000 (  2.2%),5975,2905,3070
5350528.35,0528.35 (5350528.35)   00000 (  2.8%),3315,1590,1720
5350528.36,0528.36 (5350528.36)   00000 (  1.7%),8215,4235,3980
5350528.37,0528.37 (5350528.37)   00000 (  2.0%),8535,4200,4335
5350528.39,0528.39 (5350528.39)   00000 (  1.7%),6890,3340,3545
5350528.40,0528.40 (5350528.40)   00000 (  1.8%),6195,3035,3165
5350528.41,0528.41 (5350528.41)   00000 (  3.1%),7940,3865,4075
5350528.42,0528.42 (5350528.42)   00000 (  2.9%),5565,2690,2875
5350528.43,0528.43 (5350528.43)   00000 (  1.4%),5110,2410,2700
5350528.44,0528.44 (5350528.44)   00000 (  2.6%),2080,995,1085
5350528.45,0528.45 (5350528.45)   00000 (  2.3%),5650,2640,3015
5350528.46,0528.46 (5350528.46)   00000 (  1.8%),7145,3550,3595
5350528.47,0528.47 (5350528.47)   00000 (  1.9%),5260,2570,2690
5350528.48,0528.48 (5350528.48)   00000 (  1.7%),7955,4005,3955
5350528.49,0528.49 (5350528.49)   00000 (  3.4%),4865,2405,2460
5350529.01,0529.01 (5350529.01)   00000 (  3.5%),3845,2020,1825
5350529.02,0529.02 (5350529.02)   00000 (  2.7%),4675,2315,2365
5350530.01,0530.01 (5350530.01)   00000 (  3.2%),5215,2565,2645
5350530.02,0530.02 (5350530.02)   00000 (  2.7%),3170,1565,1600
5350531.01,0531.01 (5350531.01)   00000 (  2.3%),4145,2085,2055
5350531.02,0531.02 (5350531.02)   00000 (  2.4%),6660,3335,3325
5350532.01,0532.01 (5350532.01)   00000 (  3.2%),4355,2220,2135
5350532.02,0532.02 (5350532.02)   00000 (  2.2%),4630,2320,2310
5350540.01,0540.01 (5350540.01)   00000 (  6.1%),5030,2420,2615
5350540.02,0540.02 (5350540.02)   00000 (  3.6%),5600,2645,2955
5350550.01,0550.01 (5350550.01)   00000 (  1.8%),4650,2265,2380
5350550.02,0550.02 (5350550.02)   00000 (  2.8%),7465,3610,3850
5350560.00,0560.00 (5350560.00)   00000 (  2.6%),6270,3155,3115
5350561.00,0561.00 (5350561.00)   00000 (  3.0%),6450,3160,3290
5350562.02,0562.02 (5350562.02)   00000 (  2.3%),6495,3205,3290
5350562.03,0562.03 (5350562.03)   00000 (  2.4%),4825,2345,2485
5350562.04,0562.04 (5350562.04)   00000 (  2.9%),4530,2285,2245
5350562.05,0562.05 (5350562.05)   00000 (  3.2%),5660,2705,2955
5350562.06,0562.06 (5350562.06)   00000 (  2.1%),3035,1500,1535
5350562.07,0562.07 (5350562.07)   00000 (  2.8%),4480,2245,2230
5350562.08,0562.08 (5350562.08)   00000 (  2.1%),4105,2005,2095
5350562.09,0562.09 (5350562.09)   00000 (  2.5%),3880,1900,1980
5350562.11,0562.11 (5350562.11)   00000 (  2.5%),3030,1530,1505
5350562.12,0562.12 (5350562.12)   00000 (  3.3%),7090,3445,3650
5350562.13,0562.13 (5350562.13)   00000 (  7.6%),1230,650,585
5350562.14,0562.14 (5350562.14)   00000 (  2.4%),3925,2015,1910
5350562.15,0562.15 (5350562.15)   00000 (  3.2%),3725,1820,1905
5350563.01,0563.01 (5350563.01)   00000 (  3.9%),6745,3095,3650
5350563.02,0563.02 (5350563.02)   00000 (  2.2%),2935,1400,1535
5350564.01,0564.01 (5350564.01)   00000 (  2.6%),2330,1155,1175
5350564.02,0564.02 (5350564.02)   00000 (  2.2%),4790,2360,2435
5350570.01,0570.01 (5350570.01)   00000 (  3.4%),3295,1600,1695
5350570.02,0570.02 (5350570.02)   00000 (  2.0%),3645,1815,1835
5350571.01,0571.01 (5350571.01)   00000 (  2.9%),3855,1875,1980
5350571.02,0571.02 (5350571.02)   00000 (  3.6%),4000,1960,2035
5350572.01,0572.01 (5350572.01)   00000 (  2.7%),6790,3315,3475
5350572.04,0572.04 (5350572.04)   00000 (  2.6%),3125,1550,1575
5350572.05,0572.05 (5350572.05)   00000 (  2.9%),5900,2945,2955
5350572.07,0572.07 (5350572.07)   00000 (  2.6%),4645,2400,2245
5350572.08,0572.08 (5350572.08)   00000 (  2.9%),5455,2860,2595
5350572.09,0572.09 (5350572.09)   00000 (  3.5%),4810,2360,2450
5350572.10,0572.10 (5350572.10)   00000 (  1.8%),3600,1825,1775
5350573.03,0573.03 (5350573.03)   00000 (  4.5%),6445,3130,3305
5350573.05,0573.05 (5350573.05)   00000 (  2.8%),5585,2750,2835
5350573.06,0573.06 (5350573.06)   00000 (  2.2%),4595,2235,2365
5350573.07,0573.07 (5350573.07)   00000 (  3.4%),5815,2810,3005
5350573.09,0573.09 (5350573.09)   00000 (  2.4%),6060,2990,3075
5350573.10,0573.10 (5350573.10)   00000 (  1.9%),3195,1575,1620
5350573.11,0573.11 (5350573.11)   00000 (  1.5%),5085,2470,2615
5350574.00,0574.00 (5350574.00)   00000 (  4.9%),6615,3065,3555
5350575.01,0575.01 (5350575.01)   00000 (  3.1%),5890,2830,3065
5350575.02,0575.02 (5350575.02)   00100 (  4.3%),4700,2345,2350
5350575.03,0575.03 (5350575.03)   00000 (  2.6%),6700,3365,3340
5350575.04,0575.04 (5350575.04)   00000 (  2.9%),6195,3050,3140
