CTUID,Geography,Total - Sex,  Male,  Female
5350001.00,0001.00 (5350001.00)   00000 (  2.7%),595,310,285
5350002.00,0002.00 (5350002.00)   00100 (  9.0%),620,305,315
5350003.00,0003.00 (5350003.00)   02100 ( 28.3%),755,370,380
5350004.00,0004.00 (5350004.00)   00100 (  6.6%),6685,3395,3290
5350005.00,0005.00 (5350005.00)   00000 (  4.9%),6420,3090,3330
5350007.01,0007.01 (5350007.01)   00000 (  4.8%),3235,1665,1570
5350007.02,0007.02 (5350007.02)   00100 (  5.1%),4750,2430,2320
5350008.01,0008.01 (5350008.01)   00000 (  4.8%),7500,3755,3745
5350008.02,0008.02 (5350008.02)   00000 (  4.4%),9940,4860,5085
5350009.00,0009.00 (5350009.00)   03100 ( 32.4%),565,350,220
5350010.01,0010.01 (5350010.01)   00000 (  4.0%),5425,2580,2845
5350010.02,0010.02 (5350010.02)   00100 (  6.8%),7745,3870,3870
5350011.00,0011.00 (5350011.00)   00100 (  6.1%),17555,9055,8495
5350012.01,0012.01 (5350012.01)   00100 (  5.0%),11655,5820,5840
5350012.03,0012.03 (5350012.03)   00100 (  4.8%),8865,4695,4175
5350012.04,0012.04 (5350012.04)   00000 (  4.8%),4900,2465,2435
5350013.01,0013.01 (5350013.01)   00000 (  5.0%),6290,3150,3140
5350013.02,0013.02 (5350013.02)   00000 (  4.3%),8125,4090,4030
5350014.00,0014.00 (5350014.00)   00100 (  7.9%),1240,660,580
5350015.00,0015.00 (5350015.00)   00000 (  4.2%),3665,1810,1860
5350016.00,0016.00 (5350016.00)   00000 (  6.3%),10105,5195,4910
5350017.00,0017.00 (5350017.00)   00000 (  4.6%),7905,3715,4190
5350018.00,0018.00 (5350018.00)   00100 (  5.6%),2455,1255,1205
5350019.00,0019.00 (5350019.00)   00100 (  6.8%),3255,1615,1645
5350020.00,0020.00 (5350020.00)   00000 (  3.0%),2390,1105,1285
5350021.00,0021.00 (5350021.00)   00000 (  3.9%),5200,2405,2795
5350022.00,0022.00 (5350022.00)   00000 (  2.6%),3880,1915,1965
5350023.00,0023.00 (5350023.00)   00000 (  2.4%),3205,1525,1680
5350024.00,0024.00 (5350024.00)   00000 (  3.5%),6885,3285,3600
5350025.00,0025.00 (5350025.00)   00000 (  3.6%),3460,1720,1730
5350026.00,0026.00 (5350026.00)   00000 (  2.8%),6485,3195,3290
5350027.00,0027.00 (5350027.00)   00000 (  4.1%),4390,2175,2220
5350028.01,0028.01 (5350028.01)   00000 (  3.3%),1385,670,715
5350028.02,0028.02 (5350028.02)   00000 (  5.7%),6200,3075,3125
5350029.00,0029.00 (5350029.00)   00000 (  3.7%),6985,3520,3465
5350030.00,0030.00 (5350030.00)   00100 (  5.6%),4530,2395,2135
5350031.00,0031.00 (5350031.00)   00100 (  3.6%),6270,3130,3135
5350032.00,0032.00 (5350032.00)   01100 ( 17.6%),5360,3455,1905
5350033.00,0033.00 (5350033.00)   01100 ( 10.7%),5045,3000,2040
5350034.01,0034.01 (5350034.01)   01200 ( 15.2%),4555,2400,2150
5350034.02,0034.02 (5350034.02)   00100 (  6.6%),5145,2770,2375
5350035.00,0035.00 (5350035.00)   00100 (  5.0%),9880,4655,5220
5350036.00,0036.00 (5350036.00)   00100 (  5.0%),5490,2635,2855
5350037.00,0037.00 (5350037.00)   00100 (  7.0%),4490,2210,2280
5350038.00,0038.00 (5350038.00)   00100 (  7.9%),3775,1885,1885
5350039.00,0039.00 (5350039.00)   00100 (  5.0%),4190,2035,2160
5350040.00,0040.00 (5350040.00)   00100 (  3.4%),4570,2235,2335
5350041.00,0041.00 (5350041.00)   00000 (  3.3%),3450,1750,1705
5350042.00,0042.00 (5350042.00)   00100 (  4.0%),4570,2205,2360
5350043.00,0043.00 (5350043.00)   00100 (  5.6%),3960,1995,1970
5350044.00,0044.00 (5350044.00)   00100 (  7.0%),8825,4240,4580
5350045.00,0045.00 (5350045.00)   00100 (  7.2%),3455,1765,1690
5350046.00,0046.00 (5350046.00)   00000 (  3.3%),3280,1630,1650
5350047.02,0047.02 (5350047.02)   00100 (  4.3%),3790,1995,1795
5350047.03,0047.03 (5350047.03)   00000 (  3.6%),700,360,340
5350047.04,0047.04 (5350047.04)   00100 (  4.0%),2845,1400,1445
5350048.00,0048.00 (5350048.00)   00000 (  4.2%),3555,1750,1805
5350049.00,0049.00 (5350049.00)   01000 ( 10.0%),3665,1685,1985
5350050.01,0050.01 (5350050.01)   00000 (  3.3%),8750,4030,4720
5350050.03,0050.03 (5350050.03)   00000 (  4.4%),1110,515,595
5350050.04,0050.04 (5350050.04)   00000 (  3.0%),5010,2315,2695
5350051.00,0051.00 (5350051.00)   00000 (  5.0%),5400,2625,2775
5350052.00,0052.00 (5350052.00)   00000 (  4.0%),4075,1935,2145
5350053.00,0053.00 (5350053.00)   00100 (  4.2%),5985,2980,3000
5350054.00,0054.00 (5350054.00)   00100 (  4.1%),5805,2845,2955
5350055.00,0055.00 (5350055.00)   00000 (  4.2%),2760,1345,1420
5350056.00,0056.00 (5350056.00)   00100 (  4.1%),4770,2270,2500
5350057.00,0057.00 (5350057.00)   00100 (  5.5%),2310,1105,1205
5350058.00,0058.00 (5350058.00)   00100 (  4.8%),3980,1955,2020
5350059.00,0059.00 (5350059.00)   00100 (  7.6%),3835,1875,1960
5350060.00,0060.00 (5350060.00)   00100 (  4.1%),2685,1390,1295
5350061.00,0061.00 (5350061.00)   02300 ( 27.7%),1085,520,565
5350062.01,0062.01 (5350062.01)   00100 (  4.1%),5595,2550,3045
5350062.02,0062.02 (5350062.02)   00100 (  5.6%),9085,4330,4760
5350063.03,0063.03 (5350063.03)   00100 (  5.2%),5105,2735,2365
5350063.04,0063.04 (5350063.04)   00100 (  7.3%),3370,2035,1330
5350063.05,0063.05 (5350063.05)   00100 (  5.1%),4330,2225,2105
5350063.06,0063.06 (5350063.06)   00100 (  5.1%),5170,3150,2020
5350064.00,0064.00 (5350064.00)   00100 (  7.5%),4310,2535,1775
5350065.01,0065.01 (5350065.01)   00100 (  6.0%),2480,1410,1075
5350065.02,0065.02 (5350065.02)   00000 (  4.3%),11820,5935,5885
5350066.00,0066.00 (5350066.00)   00100 (  8.5%),7610,4405,3200
5350067.00,0067.00 (5350067.00)   00000 (  3.8%),1690,905,785
5350068.00,0068.00 (5350068.00)   00000 (  2.8%),2370,1255,1115
5350069.00,0069.00 (5350069.00)   00000 (  2.6%),4925,2440,2480
5350070.00,0070.00 (5350070.00)   00100 (  6.8%),3515,1685,1825
5350071.00,0071.00 (5350071.00)   00000 (  2.7%),3485,1690,1790
5350072.01,0072.01 (5350072.01)   00000 (  3.4%),4590,2175,2410
5350072.02,0072.02 (5350072.02)   00000 (  3.4%),3140,1580,1560
5350073.00,0073.00 (5350073.00)   00000 (  3.2%),2605,1315,1290
5350074.00,0074.00 (5350074.00)   00000 (  3.2%),3850,1900,1950
5350075.00,0075.00 (5350075.00)   00000 (  3.1%),4085,1905,2175
5350076.00,0076.00 (5350076.00)   00000 (  2.8%),4415,2055,2360
5350077.00,0077.00 (5350077.00)   00000 (  2.7%),4670,2280,2385
5350078.00,0078.00 (5350078.00)   00000 (  3.9%),6015,2950,3065
5350079.00,0079.00 (5350079.00)   00000 (  3.0%),7330,3425,3900
5350080.01,0080.01 (5350080.01)   00000 (  2.7%),3355,1595,1760
5350080.02,0080.02 (5350080.02)   00000 (  4.9%),4685,2300,2380
5350081.00,0081.00 (5350081.00)   00000 (  2.1%),2850,1385,1465
5350082.00,0082.00 (5350082.00)   00000 (  2.5%),2765,1360,1405
5350083.00,0083.00 (5350083.00)   00000 (  3.6%),4050,2045,2005
5350084.00,0084.00 (5350084.00)   00000 (  5.0%),3810,1850,1965
5350085.00,0085.00 (5350085.00)   00000 (  3.7%),3995,2015,1980
5350086.00,0086.00 (5350086.00)   00000 (  2.6%),2660,1280,1385
5350087.00,0087.00 (5350087.00)   00100 (  3.9%),5155,2360,2800
5350088.00,0088.00 (5350088.00)   00000 (  6.7%),3255,1525,1725
5350089.00,0089.00 (5350089.00)   00100 (  9.4%),3895,1785,2105
5350090.00,0090.00 (5350090.00)   00000 (  7.0%),4145,1785,2355
5350091.01,0091.01 (5350091.01)   01100 ( 11.2%),6030,2905,3125
5350091.02,0091.02 (5350091.02)   00100 (  5.4%),3525,1695,1825
5350092.00,0092.00 (5350092.00)   00100 (  5.3%),7275,3530,3750
5350093.00,0093.00 (5350093.00)   00000 (  6.3%),5655,2655,2995
5350094.00,0094.00 (5350094.00)   00000 (  3.6%),4950,2365,2585
5350095.00,0095.00 (5350095.00)   00100 (  4.8%),3095,1535,1555
5350096.01,0096.01 (5350096.01)   00100 (  2.8%),1660,825,835
5350096.02,0096.02 (5350096.02)   00100 (  3.8%),3335,1670,1670
5350097.01,0097.01 (5350097.01)   00100 (  5.9%),4320,2165,2155
5350097.03,0097.03 (5350097.03)   00100 (  4.9%),1205,690,515
5350097.04,0097.04 (5350097.04)   00100 (  4.2%),5465,2725,2740
5350098.00,0098.00 (5350098.00)   00000 (  3.8%),7100,3410,3690
5350099.00,0099.00 (5350099.00)   00000 (  3.9%),6585,3210,3375
5350100.00,0100.00 (5350100.00)   00100 (  7.1%),2955,1390,1565
5350101.00,0101.00 (5350101.00)   00000 (  4.1%),3125,1530,1595
5350102.02,0102.02 (5350102.02)   00000 (  5.0%),4315,1940,2370
5350102.03,0102.03 (5350102.03)   00000 (  4.1%),3680,1725,1955
5350102.04,0102.04 (5350102.04)   00000 (  3.1%),670,330,345
5350102.05,0102.05 (5350102.05)   00000 (  3.0%),865,395,465
5350103.00,0103.00 (5350103.00)   00000 (  4.7%),6050,2815,3235
5350104.00,0104.00 (5350104.00)   00000 (  2.1%),5525,2620,2910
5350105.00,0105.00 (5350105.00)   00100 (  7.0%),4510,2215,2295
5350106.00,0106.00 (5350106.00)   00000 (  3.4%),3775,1880,1895
5350107.00,0107.00 (5350107.00)   00100 (  3.4%),5085,2520,2570
5350108.00,0108.00 (5350108.00)   00100 (  3.5%),6015,3060,2955
5350109.00,0109.00 (5350109.00)   00000 (  3.2%),5500,2700,2800
5350110.00,0110.00 (5350110.00)   00100 (  3.2%),3575,1765,1810
5350111.00,0111.00 (5350111.00)   00100 (  3.8%),2510,1220,1290
5350112.00,0112.00 (5350112.00)   00000 (  3.9%),5295,2650,2650
5350113.00,0113.00 (5350113.00)   00000 (  3.3%),2755,1330,1425
5350114.00,0114.00 (5350114.00)   00000 (  5.0%),5350,2475,2875
5350115.00,0115.00 (5350115.00)   00000 (  8.1%),4370,1980,2390
5350116.00,0116.00 (5350116.00)   00000 (  9.2%),4630,2190,2435
5350117.00,0117.00 (5350117.00)   00000 (  4.1%),2215,1075,1135
5350118.00,0118.00 (5350118.00)   00000 (  4.4%),4125,1910,2220
5350119.00,0119.00 (5350119.00)   00000 (  4.2%),4630,2100,2530
5350120.00,0120.00 (5350120.00)   00000 (  2.7%),1380,660,720
5350121.00,0121.00 (5350121.00)   00000 (  5.7%),2660,1165,1495
5350122.00,0122.00 (5350122.00)   00000 (  3.3%),6220,2720,3505
5350123.00,0123.00 (5350123.00)   00000 (  5.2%),2265,1085,1185
5350124.00,0124.00 (5350124.00)   00000 (  4.2%),5415,2325,3090
5350125.00,0125.00 (5350125.00)   00000 (  1.5%),4445,2175,2275
5350126.00,0126.00 (5350126.00)   00000 (  2.1%),4245,1955,2295
5350127.00,0127.00 (5350127.00)   00000 (  2.0%),5450,2595,2855
5350128.02,0128.02 (5350128.02)   00000 (  6.2%),8705,3940,4765
5350128.04,0128.04 (5350128.04)   00000 (  4.9%),4695,2025,2675
5350128.05,0128.05 (5350128.05)   01000 ( 14.8%),945,405,540
5350128.06,0128.06 (5350128.06)   00000 (  3.6%),4195,1985,2210
5350129.00,0129.00 (5350129.00)   00000 (  3.0%),5770,2685,3080
5350130.00,0130.00 (5350130.00)   00000 (  5.4%),3545,1685,1855
5350131.00,0131.00 (5350131.00)   00000 (  3.0%),5310,2425,2885
5350132.00,0132.00 (5350132.00)   00000 (  2.7%),5465,2540,2930
5350133.00,0133.00 (5350133.00)   00000 (  3.3%),7340,3245,4100
5350134.00,0134.00 (5350134.00)   00000 (  2.6%),2960,1405,1555
5350135.00,0135.00 (5350135.00)   00000 (  3.5%),6045,2830,3215
5350136.01,0136.01 (5350136.01)   00000 (  4.3%),6125,2775,3355
5350136.02,0136.02 (5350136.02)   00000 (  4.4%),4980,2210,2770
5350137.00,0137.00 (5350137.00)   00000 (  3.6%),7080,3245,3830
5350138.00,0138.00 (5350138.00)   00000 (  1.9%),3105,1430,1675
5350139.01,0139.01 (5350139.01)   00000 (  2.9%),4165,1935,2230
5350139.02,0139.02 (5350139.02)   00000 (  2.6%),2540,1225,1315
5350140.00,0140.00 (5350140.00)   00000 (  2.0%),2405,1190,1220
5350141.01,0141.01 (5350141.01)   00000 (  1.9%),4320,2070,2250
5350141.02,0141.02 (5350141.02)   00000 (  1.8%),4475,2195,2280
5350142.00,0142.00 (5350142.00)   00000 (  3.1%),5810,2785,3025
5350150.00,0150.00 (5350150.00)   00000 (  2.0%),4200,2050,2145
5350151.00,0151.00 (5350151.00)   00000 (  3.7%),3785,1700,2090
5350152.00,0152.00 (5350152.00)   00000 (  2.5%),4545,2175,2375
5350153.00,0153.00 (5350153.00)   00000 (  3.6%),4465,2180,2280
5350154.00,0154.00 (5350154.00)   00000 (  3.2%),6155,2865,3295
5350155.00,0155.00 (5350155.00)   00000 (  5.0%),3130,1545,1585
5350156.01,0156.01 (5350156.01)   00000 (  4.3%),5690,2775,2915
5350156.02,0156.02 (5350156.02)   00000 (  3.6%),2810,1395,1420
5350157.00,0157.00 (5350157.00)   00100 (  4.3%),2635,1260,1380
5350158.00,0158.00 (5350158.00)   00100 (  4.4%),2845,1285,1560
5350159.01,0159.01 (5350159.01)   00000 (  3.4%),3490,1755,1730
5350159.02,0159.02 (5350159.02)   00000 (  3.1%),4725,2305,2415
5350160.00,0160.00 (5350160.00)   00000 (  3.9%),3115,1555,1555
5350161.00,0161.00 (5350161.00)   00000 (  3.0%),6835,3365,3475
5350162.00,0162.00 (5350162.00)   00000 (  5.2%),5120,2435,2680
5350163.00,0163.00 (5350163.00)   00000 (  3.5%),4360,2110,2250
5350164.00,0164.00 (5350164.00)   00100 (  4.2%),6255,3025,3230
5350165.00,0165.00 (5350165.00)   00000 (  3.4%),4370,2055,2315
5350166.00,0166.00 (5350166.00)   00000 (  4.1%),4180,1975,2205
5350167.01,0167.01 (5350167.01)   00000 (  4.4%),1880,780,1100
5350167.02,0167.02 (5350167.02)   00000 (  4.4%),5815,2590,3220
5350168.00,0168.00 (5350168.00)   00100 (  3.6%),5475,2515,2960
5350169.01,0169.01 (5350169.01)   00000 (  4.3%),3475,1605,1865
5350169.02,0169.02 (5350169.02)   00000 (  3.2%),7465,3395,4065
5350170.00,0170.00 (5350170.00)   00000 (  3.1%),3320,1625,1695
5350171.00,0171.00 (5350171.00)   00100 (  7.5%),4055,1865,2190
5350172.00,0172.00 (5350172.00)   00100 (  4.6%),2520,1230,1285
5350173.00,0173.00 (5350173.00)   00100 (  5.3%),3695,1785,1910
5350174.00,0174.00 (5350174.00)   00000 (  6.1%),7260,3380,3880
5350175.01,0175.01 (5350175.01)   00100 (  6.1%),6040,2770,3270
5350175.02,0175.02 (5350175.02)   00100 (  4.7%),7680,3685,3990
5350176.00,0176.00 (5350176.00)   00000 (  3.8%),4270,2085,2190
5350180.00,0180.00 (5350180.00)   00000 (  5.5%),6560,3090,3465
5350181.01,0181.01 (5350181.01)   00000 (  3.1%),4310,2045,2265
5350181.02,0181.02 (5350181.02)   00000 (  3.7%),3550,1775,1780
5350182.00,0182.00 (5350182.00)   00000 (  3.0%),5535,2705,2825
5350183.01,0183.01 (5350183.01)   00000 (  2.4%),2605,1270,1335
5350183.02,0183.02 (5350183.02)   00000 (  1.9%),3940,1900,2040
5350184.01,0184.01 (5350184.01)   00000 (  3.4%),5105,2385,2725
5350184.02,0184.02 (5350184.02)   00000 (  2.7%),3765,1825,1940
5350185.01,0185.01 (5350185.01)   00000 (  3.5%),6810,3255,3555
5350185.02,0185.02 (5350185.02)   00000 (  4.3%),4685,2205,2485
5350186.00,0186.00 (5350186.00)   00000 (  1.6%),2420,1155,1260
5350187.00,0187.00 (5350187.00)   00000 (  2.5%),3445,1735,1715
5350188.00,0188.00 (5350188.00)   00000 (  2.7%),2020,990,1025
5350189.00,0189.00 (5350189.00)   00000 (  4.2%),5460,2550,2915
5350190.01,0190.01 (5350190.01)   00000 (  2.9%),9125,4620,4510
5350190.02,0190.02 (5350190.02)   00000 (  3.3%),4765,2275,2485
5350191.00,0191.00 (5350191.00)   00000 (  2.8%),4230,2100,2125
5350192.00,0192.00 (5350192.00)   00000 (  2.8%),900,445,460
5350193.00,0193.00 (5350193.00)   00000 (  2.4%),3315,1640,1680
5350194.01,0194.01 (5350194.01)   00000 (  2.5%),5495,2790,2705
5350194.02,0194.02 (5350194.02)   00000 (  5.3%),6240,3105,3130
5350194.03,0194.03 (5350194.03)   00000 (  3.0%),2935,1320,1615
5350194.04,0194.04 (5350194.04)   00000 (  2.3%),6435,3080,3355
5350195.01,0195.01 (5350195.01)   00000 (  2.8%),4480,2130,2355
5350195.02,0195.02 (5350195.02)   00000 (  2.3%),2315,1105,1210
5350196.01,0196.01 (5350196.01)   00000 (  1.4%),1980,910,1065
5350196.02,0196.02 (5350196.02)   00000 (  2.7%),5635,2720,2915
5350200.01,0200.01 (5350200.01)   00000 (  3.9%),5615,2685,2930
5350200.02,0200.02 (5350200.02)   00000 (  4.4%),980,485,500
5350201.00,0201.00 (5350201.00)   00000 (  4.1%),5370,2600,2770
5350202.00,0202.00 (5350202.00)   00000 (  2.5%),1645,805,845
5350203.00,0203.00 (5350203.00)   00000 (  3.2%),3160,1475,1680
5350204.00,0204.00 (5350204.00)   00000 (  4.1%),4535,2215,2320
5350206.01,0206.01 (5350206.01)   00000 (  3.5%),4220,2055,2160
5350206.02,0206.02 (5350206.02)   00000 (  3.4%),5865,2955,2905
5350207.00,0207.00 (5350207.00)   00000 (  3.2%),2605,1345,1255
5350208.00,0208.00 (5350208.00)   00000 (  3.7%),4175,1995,2175
5350209.00,0209.00 (5350209.00)   00000 (  4.0%),2715,1310,1405
5350210.01,0210.01 (5350210.01)   01000 ( 10.4%),3080,1745,1335
5350210.02,0210.02 (5350210.02)   00000 (  4.2%),11390,5425,5965
5350211.00,0211.00 (5350211.00)   00000 (  2.9%),6345,3120,3225
5350212.00,0212.00 (5350212.00)   00000 (  2.9%),5700,2765,2940
5350213.01,0213.01 (5350213.01)   00000 (  2.1%),2665,1335,1325
5350213.02,0213.02 (5350213.02)   00000 (  5.6%),6050,2915,3135
5350214.00,0214.00 (5350214.00)   00000 (  2.8%),5070,2465,2605
5350215.00,0215.00 (5350215.00)   00000 (  2.8%),6750,3250,3500
5350216.00,0216.00 (5350216.00)   00000 (  2.9%),5535,2715,2815
5350217.00,0217.00 (5350217.00)   00000 (  3.7%),5695,2850,2840
5350218.00,0218.00 (5350218.00)   00000 (  2.1%),2655,1315,1340
5350219.00,0219.00 (5350219.00)   00000 (  1.9%),4430,2125,2300
5350220.00,0220.00 (5350220.00)   00000 (  3.4%),4180,2035,2140
5350221.01,0221.01 (5350221.01)   00000 (  2.2%),6380,2890,3485
5350221.02,0221.02 (5350221.02)   00000 (  5.0%),5205,2530,2675
5350222.01,0222.01 (5350222.01)   00000 (  2.8%),6695,3245,3450
5350222.02,0222.02 (5350222.02)   00000 (  5.1%),5140,2460,2680
5350223.01,0223.01 (5350223.01)   00000 (  2.6%),1520,750,775
5350223.02,0223.02 (5350223.02)   00000 (  2.5%),2135,1050,1085
5350224.00,0224.00 (5350224.00)   00000 (  2.0%),1695,830,870
5350225.01,0225.01 (5350225.01)   00000 (  3.1%),4980,2280,2700
5350225.02,0225.02 (5350225.02)   00000 (  5.4%),9710,4445,5260
5350226.00,0226.00 (5350226.00)   00000 (  2.5%),3165,1505,1660
5350227.00,0227.00 (5350227.00)   00000 (  2.0%),1750,830,920
5350228.00,0228.00 (5350228.00)   00000 (  3.2%),3135,1430,1705
5350229.00,0229.00 (5350229.00)   00000 (  6.0%),1225,575,645
5350230.01,0230.01 (5350230.01)   00000 (  3.3%),2535,1175,1360
5350230.02,0230.02 (5350230.02)   00000 (  4.8%),6540,2980,3560
5350231.00,0231.00 (5350231.00)   00000 (  2.5%),6460,3150,3310
5350232.00,0232.00 (5350232.00)   00000 (  2.2%),3825,1865,1960
5350233.00,0233.00 (5350233.00)   00000 (  1.8%),5530,2735,2795
5350234.00,0234.00 (5350234.00)   00000 (  2.6%),4520,2160,2360
5350235.01,0235.01 (5350235.01)   00000 (  2.5%),2840,1405,1435
5350235.02,0235.02 (5350235.02)   00000 (  2.8%),5280,2540,2735
5350236.01,0236.01 (5350236.01)   00000 (  4.1%),6645,3100,3550
5350236.02,0236.02 (5350236.02)   00000 (  2.5%),5945,2805,3140
5350237.01,0237.01 (5350237.01)   00000 (  3.0%),6815,3260,3555
5350237.02,0237.02 (5350237.02)   00000 (  2.4%),2985,1495,1490
5350237.03,0237.03 (5350237.03)   00000 (  3.3%),5640,2605,3035
5350238.01,0238.01 (5350238.01)   00000 (  1.6%),3350,1660,1690
5350238.02,0238.02 (5350238.02)   00000 (  2.4%),5245,2540,2700
5350239.00,0239.00 (5350239.00)   00000 (  3.0%),6480,3010,3470
5350240.01,0240.01 (5350240.01)   00000 (  1.9%),3365,1615,1750
5350240.02,0240.02 (5350240.02)   00000 (  4.2%),6040,2635,3415
5350241.00,0241.00 (5350241.00)   00000 (  9.4%),3230,1495,1735
5350242.00,0242.00 (5350242.00)   00000 (  3.4%),1675,765,910
5350243.01,0243.01 (5350243.01)   00000 (  4.0%),6660,3260,3395
5350243.02,0243.02 (5350243.02)   00000 (  3.2%),3615,1770,1850
5350244.01,0244.01 (5350244.01)   00000 (  2.9%),5680,2790,2885
5350244.02,0244.02 (5350244.02)   00000 (  3.4%),3780,1730,2050
5350245.00,0245.00 (5350245.00)   00000 (  3.2%),6935,3380,3555
5350246.00,0246.00 (5350246.00)   00000 (  6.0%),3595,1755,1840
5350247.01,0247.01 (5350247.01)   00000 (  3.8%),8725,4335,4390
5350247.02,0247.02 (5350247.02)   00000 (  2.5%),7170,3615,3550
5350248.02,0248.02 (5350248.02)   00000 (  4.5%),5670,2635,3040
5350248.03,0248.03 (5350248.03)   00000 (  3.5%),2620,1330,1290
5350248.04,0248.04 (5350248.04)   00100 (  5.2%),4770,2350,2430
5350248.05,0248.05 (5350248.05)   00100 (  5.4%),4330,2180,2155
5350249.01,0249.01 (5350249.01)   00000 (  1.9%),4645,2305,2345
5350249.03,0249.03 (5350249.03)   00000 (  2.6%),5695,2810,2885
5350249.04,0249.04 (5350249.04)   00000 (  2.7%),3345,1670,1670
5350249.05,0249.05 (5350249.05)   00000 (  2.8%),5475,2730,2750
5350250.01,0250.01 (5350250.01)   00000 (  4.7%),5430,2665,2770
5350250.02,0250.02 (5350250.02)   00000 (  3.4%),4925,2395,2535
5350250.04,0250.04 (5350250.04)   00100 (  4.7%),6205,3030,3180
5350250.05,0250.05 (5350250.05)   00000 (  3.0%),7605,3705,3900
5350260.01,0260.01 (5350260.01)   00000 (  2.4%),6745,3255,3490
5350260.04,0260.04 (5350260.04)   00000 (  3.1%),4150,2020,2125
5350260.05,0260.05 (5350260.05)   00100 (  2.7%),4020,1955,2070
5350260.06,0260.06 (5350260.06)   00000 (  2.4%),3350,1610,1735
5350260.07,0260.07 (5350260.07)   00000 (  2.9%),3670,1700,1975
5350261.00,0261.00 (5350261.00)   00000 (  6.5%),5500,2420,3085
5350262.01,0262.01 (5350262.01)   00000 (  3.4%),5735,2670,3065
5350262.02,0262.02 (5350262.02)   00000 (  3.6%),6275,3020,3250
5350263.02,0263.02 (5350263.02)   00000 (  4.9%),3470,1575,1895
5350263.03,0263.03 (5350263.03)   00000 (  7.5%),4905,2240,2665
5350263.04,0263.04 (5350263.04)   00000 (  4.1%),6535,2925,3605
5350264.00,0264.00 (5350264.00)   00000 (  3.0%),1300,595,700
5350265.00,0265.00 (5350265.00)   00000 (  2.6%),4755,2285,2470
5350266.00,0266.00 (5350266.00)   00000 (  2.4%),3205,1575,1635
5350267.00,0267.00 (5350267.00)   00000 (  1.2%),6365,3170,3200
5350268.00,0268.00 (5350268.00)   00000 (  2.9%),6415,2905,3510
5350269.01,0269.01 (5350269.01)   00000 (  3.7%),5055,2370,2685
5350269.02,0269.02 (5350269.02)   00000 (  2.3%),2570,1240,1325
5350270.01,0270.01 (5350270.01)   00000 (  2.8%),4980,2360,2620
5350270.02,0270.02 (5350270.02)   00000 (  3.1%),4265,2065,2195
5350271.01,0271.01 (5350271.01)   00000 (  2.8%),2430,1155,1275
5350271.02,0271.02 (5350271.02)   00000 (  2.8%),4815,2325,2490
5350272.01,0272.01 (5350272.01)   00000 (  3.4%),5990,2740,3240
5350272.02,0272.02 (5350272.02)   00000 (  3.1%),4705,2190,2520
5350273.01,0273.01 (5350273.01)   00000 (  4.6%),4015,1965,2050
5350273.02,0273.02 (5350273.02)   00000 (  2.2%),4160,1955,2205
5350274.01,0274.01 (5350274.01)   00000 (  2.1%),4900,2390,2510
5350274.02,0274.02 (5350274.02)   00000 (  2.6%),4740,2215,2525
5350275.00,0275.00 (5350275.00)   00000 (  2.6%),5835,2725,3110
5350276.01,0276.01 (5350276.01)   00000 (  3.1%),6450,2865,3580
5350276.02,0276.02 (5350276.02)   00000 (  2.0%),6870,3260,3610
5350277.00,0277.00 (5350277.00)   00000 (  2.8%),4085,1995,2085
5350278.00,0278.00 (5350278.00)   00000 (  3.5%),7735,3610,4125
5350279.01,0279.01 (5350279.01)   00000 (  3.1%),4030,1895,2135
5350279.02,0279.02 (5350279.02)   00000 (  8.7%),6505,2975,3530
5350280.00,0280.00 (5350280.00)   00000 (  3.1%),7330,3425,3905
5350281.01,0281.01 (5350281.01)   00000 (  3.1%),6480,2955,3530
5350281.02,0281.02 (5350281.02)   00000 (  3.3%),3940,1845,2095
5350282.00,0282.00 (5350282.00)   00000 (  2.4%),4480,2180,2295
5350283.01,0283.01 (5350283.01)   00000 (  5.3%),5400,2455,2940
5350283.02,0283.02 (5350283.02)   00000 (  4.4%),4540,1995,2550
5350284.00,0284.00 (5350284.00)   00000 (  3.5%),6840,3275,3570
5350285.00,0285.00 (5350285.00)   00000 (  2.9%),3270,1575,1695
5350286.00,0286.00 (5350286.00)   00000 (  4.1%),4270,1995,2280
5350287.02,0287.02 (5350287.02)   00000 (  6.1%),6730,2855,3875
5350287.03,0287.03 (5350287.03)   00000 (  3.5%),3430,1460,1975
5350287.04,0287.04 (5350287.04)   00000 (  3.7%),4470,1935,2540
5350288.00,0288.00 (5350288.00)   00000 (  3.3%),9970,4670,5300
5350289.00,0289.00 (5350289.00)   00000 (  3.3%),4715,2280,2430
5350290.01,0290.01 (5350290.01)   00000 (  4.2%),3620,1735,1885
5350290.02,0290.02 (5350290.02)   00000 (  3.7%),1535,730,805
5350291.02,0291.02 (5350291.02)   00000 (  3.9%),4950,2285,2660
5350291.03,0291.03 (5350291.03)   00000 (  2.8%),2300,1105,1200
5350291.04,0291.04 (5350291.04)   00000 (  2.8%),1585,770,810
5350292.00,0292.00 (5350292.00)   00000 (  4.1%),6720,3285,3435
5350293.00,0293.00 (5350293.00)   00000 (  3.0%),6245,2985,3260
5350294.01,0294.01 (5350294.01)   00000 (  3.6%),4390,2070,2310
5350294.02,0294.02 (5350294.02)   00000 (  3.3%),4505,2185,2320
5350295.00,0295.00 (5350295.00)   00000 (  3.1%),5180,2535,2645
5350296.00,0296.00 (5350296.00)   00900 (  4.0%),65,25,35
