CTUID,Total income,  Market income,    Employment income,"      Wages, salaries and commissions",      Net self-employment income,    Investment income,    Private retirement income,    Market income not included elsewhere,  Government transfers,    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),      Old Age Security pension (OAS),      Guaranteed Income Supplement (GIS) and spousal allowance,    Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,      CPP/QPP - Retirement benefits,      CPP/QPP - Disability benefits,      CPP/QPP - Survivor benefits,    Employment Insurance (EI) benefits,      EI - Regular benefits,      EI - Other benefits,    Child benefits,      Basic Canada Child Tax Benefit (CCTB),      National Child Benefit Supplement (NCBS),      Universal Child Care Benefit (UCCB),      Provincial and territorial child benefits,    Other government transfers,      Social assistance benefits,      Workers' compensation benefits,      Working income tax benefit (WITB),      Goods and services tax (GST) credit and harmonized sales tax (HST) credit,      Government transfers not included elsewhere,  After-tax income,  Income taxes,    Net federal tax,    Provincial and territorial income taxes
5350452.05,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530
5350452.06,3380,3380,3385,3385,3385,3385,3385,3385,3385,3385,3385,3385,3385,3385,3380,3385,3385,3385,3385,3385,3385,3385,3380,3380,3385,3385,3385,3380,3385,3380,3380,3385,3385,3385
5350452.07,4515,4515,4520,4515,4520,4520,4520,4520,4520,4520,4515,4520,4515,4520,4515,4520,4520,4520,4515,4520,4520,4515,4515,4515,4515,4520,4520,4515,4520,4515,4515,4515,4520,4515
5350455.00,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475,6475
5350456.01,3665,3665,3665,3665,3665,3665,3660,3665,3660,3660,3665,3665,3665,3660,3665,3665,3665,3665,3665,3665,3665,3660,3665,3665,3665,3665,3665,3665,3665,3665,3665,3660,3665,3660
5350456.02,5795,5795,5795,5795,5795,5795,5795,5795,5790,5795,5795,5795,5790,5795,5795,5790,5790,5795,5790,5795,5795,5795,5790,5795,5795,5795,5795,5790,5790,5795,5795,5795,5790,5795
5350456.03,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410
5350460.01,5835,5840,5840,5835,5835,5840,5835,5840,5840,5840,5840,5840,5840,5835,5840,5840,5840,5835,5835,5835,5835,5840,5840,5840,5835,5840,5840,5835,5835,5835,5835,5835,5835,5840
5350460.02,3030,3030,3025,3025,3025,3030,3030,3030,3025,3030,3030,3030,3025,3025,3025,3030,3025,3030,3025,3025,3025,3030,3030,3030,3030,3030,3030,3030,3030,3030,3030,3030,3030,3030
5350461.01,4365,4370,4370,4370,4365,4370,4370,4365,4365,4370,4370,4365,4365,4370,4370,4370,4365,4365,4370,4370,4365,4365,4370,4370,4370,4365,4365,4365,4365,4365,4365,4365,4365,4370
5350461.02,6700,6695,6695,6695,6695,6695,6695,6700,6695,6700,6700,6695,6700,6700,6695,6695,6695,6695,6695,6700,6695,6695,6695,6695,6695,6695,6695,6695,6695,6695,6695,6695,6695,6695
5350470.00,2395,2395,2395,2390,2395,2395,2395,2395,2395,2390,2390,2395,2395,2395,2395,2395,2390,2395,2395,2390,2395,2395,2395,2395,2395,2395,2395,2395,2395,2395,2390,2390,2395,2395
5350471.00,2740,2740,2740,2735,2740,2740,2740,2735,2735,2740,2740,2740,2740,2735,2740,2740,2740,2735,2740,2735,2740,2740,2740,2735,2740,2740,2740,2740,2740,2740,2740,2735,2740,2740
