CTUID,Geography,Total - Family characteristics of adults (restricted to persons aged 15 and over),  Adults living in census families,    Married spouses and common-law partners,      Without children in their census family,      With children in their census family,    Lone parents (in lone-parent census families),"    Children in census families (as in sons, daughters or grandchildren)",  Adults not living in census families,    Living with other relatives,    Living with non-relatives only,    Living alone
5350001.00,0001.00 (5350001.00)   00000 (  2.7%),510,395,300,155,145,25,70,115,10,40,65
5350002.00,0002.00 (5350002.00)   00100 (  9.0%),530,415,305,195,110,35,80,115,15,25,75
5350003.00,0003.00 (5350003.00)   02100 ( 28.3%),425,275,220,145,75,20,35,150,10,20,115
5350004.00,0004.00 (5350004.00)   00100 (  6.6%),5700,2940,2025,1095,925,315,600,2765,235,735,1795
5350005.00,0005.00 (5350005.00)   00000 (  4.9%),5525,2900,1965,1240,725,375,565,2630,205,695,1720
5350007.01,0007.01 (5350007.01)   00000 (  4.8%),2815,1480,1070,605,465,150,255,1335,80,335,925
5350007.02,0007.02 (5350007.02)   00100 (  5.1%),4110,2210,1445,810,640,275,485,1900,145,485,1280
5350008.01,0008.01 (5350008.01)   00000 (  4.8%),7205,3445,3250,2760,490,90,110,3760,175,795,2795
5350008.02,0008.02 (5350008.02)   00000 (  4.4%),9235,4710,3915,2935,975,325,475,4520,260,1050,3205
5350009.00,0009.00 (5350009.00)   03100 ( 32.4%),260,125,70,55,20,30,25,135,15,40,85
5350010.01,0010.01 (5350010.01)   00000 (  4.0%),4865,2710,2265,1635,635,215,225,2155,105,475,1570
5350010.02,0010.02 (5350010.02)   00100 (  6.8%),6830,3530,2955,2145,815,230,345,3300,165,710,2420
5350011.00,0011.00 (5350011.00)   00100 (  6.1%),16935,7000,6370,5385,990,210,420,9935,420,2235,7275
5350012.01,0012.01 (5350012.01)   00100 (  5.0%),10840,5010,4125,3140,985,355,540,5830,425,1980,3430
5350012.03,0012.03 (5350012.03)   00100 (  4.8%),8405,4000,3500,2630,870,170,335,4405,335,1420,2650
5350012.04,0012.04 (5350012.04)   00000 (  4.8%),4615,2375,2080,1610,470,115,185,2240,120,615,1505
5350013.01,0013.01 (5350013.01)   00000 (  5.0%),5980,2885,2495,2030,465,155,235,3095,165,635,2290
5350013.02,0013.02 (5350013.02)   00000 (  4.3%),7540,4410,3800,2735,1065,180,430,3125,185,650,2295
5350014.00,0014.00 (5350014.00)   00100 (  7.9%),1115,675,550,390,160,40,85,445,35,70,340
5350015.00,0015.00 (5350015.00)   00000 (  4.2%),3400,1855,1550,1275,280,110,190,1550,90,275,1180
5350016.00,0016.00 (5350016.00)   00000 (  6.3%),9120,4685,4065,3315,745,235,380,4435,195,725,3520
5350017.00,0017.00 (5350017.00)   00000 (  4.6%),7145,3895,2785,1940,845,470,635,3250,195,535,2515
5350018.00,0018.00 (5350018.00)   00100 (  5.6%),2055,1235,1015,655,360,85,140,820,40,180,595
5350019.00,0019.00 (5350019.00)   00100 (  6.8%),2575,1810,1190,530,660,215,410,765,95,180,485
5350020.00,0020.00 (5350020.00)   00000 (  3.0%),1935,1560,1230,560,670,80,245,375,30,35,305
5350021.00,0021.00 (5350021.00)   00000 (  3.9%),4495,2975,2250,1220,1040,225,500,1515,70,230,1220
5350022.00,0022.00 (5350022.00)   00000 (  2.6%),3075,2555,1870,685,1180,155,535,515,50,75,390
5350023.00,0023.00 (5350023.00)   00000 (  2.4%),2630,2175,1575,650,930,115,480,460,40,50,365
5350024.00,0024.00 (5350024.00)   00000 (  3.5%),5485,4150,3145,1395,1755,315,690,1335,105,255,975
5350025.00,0025.00 (5350025.00)   00000 (  3.6%),2845,2020,1510,775,745,185,320,830,90,130,615
5350026.00,0026.00 (5350026.00)   00000 (  2.8%),5325,3935,2780,1230,1550,375,780,1395,165,385,835
5350027.00,0027.00 (5350027.00)   00000 (  4.1%),3600,2675,1850,820,1030,245,575,925,135,300,495
5350028.01,0028.01 (5350028.01)   00000 (  3.3%),1160,790,645,380,265,50,90,375,25,60,285
5350028.02,0028.02 (5350028.02)   00000 (  5.7%),5130,3420,2705,1520,1185,230,485,1710,155,435,1120
5350029.00,0029.00 (5350029.00)   00000 (  3.7%),5890,4125,2890,1460,1425,375,860,1760,205,535,1025
5350030.00,0030.00 (5350030.00)   00100 (  5.6%),3855,2330,1545,930,620,260,520,1525,135,430,960
5350031.00,0031.00 (5350031.00)   00100 (  3.6%),5190,3510,1950,735,1210,460,1105,1680,140,350,1200
5350032.00,0032.00 (5350032.00)   01100 ( 17.6%),3870,1600,1115,765,350,190,295,2275,80,500,1695
5350033.00,0033.00 (5350033.00)   01100 ( 10.7%),4035,1725,1090,715,375,295,340,2310,125,545,1640
5350034.01,0034.01 (5350034.01)   01200 ( 15.2%),3785,1645,1345,960,385,100,200,2145,175,935,1035
5350034.02,0034.02 (5350034.02)   00100 (  6.6%),4645,2055,1575,1190,380,185,295,2590,125,780,1685
5350035.00,0035.00 (5350035.00)   00100 (  5.0%),9145,4010,3055,1990,1065,340,610,5135,495,1770,2870
5350036.00,0036.00 (5350036.00)   00100 (  5.0%),5160,2240,1760,1260,500,175,310,2920,245,845,1825
5350037.00,0037.00 (5350037.00)   00100 (  7.0%),4030,1590,1080,625,455,165,345,2435,140,1380,915
5350038.00,0038.00 (5350038.00)   00100 (  7.9%),3355,1555,1070,625,445,160,325,1805,115,980,705
5350039.00,0039.00 (5350039.00)   00100 (  5.0%),3605,2235,1130,575,560,365,740,1370,155,570,650
5350040.00,0040.00 (5350040.00)   00100 (  3.4%),4060,2565,1810,985,830,225,525,1495,145,860,490
5350041.00,0041.00 (5350041.00)   00000 (  3.3%),3045,1880,1365,725,635,150,370,1165,130,595,450
5350042.00,0042.00 (5350042.00)   00100 (  4.0%),4025,2475,1830,1050,780,190,460,1550,145,765,640
5350043.00,0043.00 (5350043.00)   00100 (  5.6%),3355,2170,1680,950,730,140,355,1180,90,510,580
5350044.00,0044.00 (5350044.00)   00100 (  7.0%),7905,4000,3230,2140,1085,235,540,3900,295,1535,2070
5350045.00,0045.00 (5350045.00)   00100 (  7.2%),2910,1830,1315,755,560,160,355,1080,130,450,505
5350046.00,0046.00 (5350046.00)   00000 (  3.3%),2840,2030,1345,655,695,225,465,810,120,335,355
5350047.02,0047.02 (5350047.02)   00100 (  4.3%),3285,1815,1275,700,580,185,350,1475,110,385,980
5350047.03,0047.03 (5350047.03)   00000 (  3.6%),620,375,295,170,125,25,55,240,15,60,165
5350047.04,0047.04 (5350047.04)   00100 (  4.0%),2340,1635,1240,555,680,110,285,705,65,290,345
5350048.00,0048.00 (5350048.00)   00000 (  4.2%),2935,1980,1540,695,845,120,325,955,85,315,550
5350049.00,0049.00 (5350049.00)   01000 ( 10.0%),2690,1875,1420,685,740,120,330,810,65,245,505
5350050.01,0050.01 (5350050.01)   00000 (  3.3%),7575,5365,4215,2310,1905,320,830,2215,150,270,1795
5350050.03,0050.03 (5350050.03)   00000 (  4.4%),990,655,555,360,200,30,70,330,25,50,255
5350050.04,0050.04 (5350050.04)   00000 (  3.0%),4070,3025,2075,895,1175,305,655,1040,50,170,815
5350051.00,0051.00 (5350051.00)   00000 (  5.0%),4490,3135,2380,1175,1205,175,575,1355,95,435,830
5350052.00,0052.00 (5350052.00)   00000 (  4.0%),3395,2335,1790,850,940,165,375,1055,90,310,655
5350053.00,0053.00 (5350053.00)   00100 (  4.2%),5320,3480,2600,1440,1160,245,630,1845,155,735,950
5350054.00,0054.00 (5350054.00)   00100 (  4.1%),5105,3095,2290,1300,990,245,560,2015,155,795,1070
5350055.00,0055.00 (5350055.00)   00000 (  4.2%),2485,1410,1090,620,470,90,230,1070,75,480,515
5350056.00,0056.00 (5350056.00)   00100 (  4.1%),4295,2595,1905,1040,865,195,505,1700,150,980,565
5350057.00,0057.00 (5350057.00)   00100 (  5.5%),2100,1140,860,525,335,75,205,960,50,480,430
5350058.00,0058.00 (5350058.00)   00100 (  4.8%),3615,2035,1590,980,605,120,330,1580,85,780,720
5350059.00,0059.00 (5350059.00)   00100 (  7.6%),2945,1575,1190,695,495,115,265,1370,85,840,450
5350060.00,0060.00 (5350060.00)   00100 (  4.1%),2515,1205,955,650,305,80,165,1310,75,540,695
5350061.00,0061.00 (5350061.00)   02300 ( 27.7%),710,300,230,130,100,25,40,415,15,100,300
5350062.01,0062.01 (5350062.01)   00100 (  4.1%),5085,2595,2240,1520,720,145,210,2490,160,665,1665
5350062.02,0062.02 (5350062.02)   00100 (  5.6%),8595,3560,2780,2010,765,270,510,5035,405,1895,2735
5350063.03,0063.03 (5350063.03)   00100 (  5.2%),4920,2105,1805,1480,325,115,190,2820,200,590,2025
5350063.04,0063.04 (5350063.04)   00100 (  7.3%),3165,1195,995,845,150,80,120,1970,70,430,1470
5350063.05,0063.05 (5350063.05)   00100 (  5.1%),4220,1680,1440,1210,235,90,150,2535,105,640,1790
5350063.06,0063.06 (5350063.06)   00100 (  5.1%),4965,1785,1595,1310,285,75,115,3175,115,825,2235
5350064.00,0064.00 (5350064.00)   00100 (  7.5%),3970,1750,1525,1265,255,85,140,2220,125,545,1550
5350065.01,0065.01 (5350065.01)   00100 (  6.0%),2215,970,800,490,310,60,110,1240,80,450,715
5350065.02,0065.02 (5350065.02)   00000 (  4.3%),9880,5920,3710,1360,2345,795,1415,3965,410,1295,2260
5350066.00,0066.00 (5350066.00)   00100 (  8.5%),6610,3015,2420,1855,565,220,370,3595,170,840,2585
5350067.00,0067.00 (5350067.00)   00000 (  3.8%),1485,1065,895,590,310,50,120,420,25,125,270
5350068.00,0068.00 (5350068.00)   00000 (  2.8%),2100,1405,1105,750,355,105,190,695,40,190,460
5350069.00,0069.00 (5350069.00)   00000 (  2.6%),4020,3135,2320,980,1345,205,615,890,120,310,460
5350070.00,0070.00 (5350070.00)   00100 (  6.8%),2905,1825,1405,720,690,105,315,1075,55,215,810
5350071.00,0071.00 (5350071.00)   00000 (  2.7%),2805,2220,1570,640,935,175,470,590,65,135,390
5350072.01,0072.01 (5350072.01)   00000 (  3.4%),3675,2765,1680,730,955,390,690,910,120,190,600
5350072.02,0072.02 (5350072.02)   00000 (  3.4%),2605,2010,1455,645,805,135,420,595,65,160,365
5350073.00,0073.00 (5350073.00)   00000 (  3.2%),2215,1645,1120,515,600,155,370,575,90,225,260
5350074.00,0074.00 (5350074.00)   00000 (  3.2%),3175,2310,1535,695,840,280,495,865,110,265,490
5350075.00,0075.00 (5350075.00)   00000 (  3.1%),3415,2440,1780,765,1015,180,485,975,105,245,625
5350076.00,0076.00 (5350076.00)   00000 (  2.8%),3605,2640,1910,855,1055,260,470,965,95,200,670
5350077.00,0077.00 (5350077.00)   00000 (  2.7%),3660,2830,2085,765,1325,235,505,830,70,175,580
5350078.00,0078.00 (5350078.00)   00000 (  3.9%),5000,3550,2545,1200,1345,340,665,1450,65,215,1165
5350079.00,0079.00 (5350079.00)   00000 (  3.0%),5670,4625,3340,1205,2135,360,920,1050,95,150,805
5350080.01,0080.01 (5350080.01)   00000 (  2.7%),2790,2070,1480,670,815,190,395,720,90,195,430
5350080.02,0080.02 (5350080.02)   00000 (  4.9%),3830,2570,1600,630,975,335,630,1260,170,320,775
5350081.00,0081.00 (5350081.00)   00000 (  2.1%),2305,1810,1275,455,820,140,395,495,70,175,250
5350082.00,0082.00 (5350082.00)   00000 (  2.5%),2195,1695,1270,480,790,115,315,500,85,185,230
5350083.00,0083.00 (5350083.00)   00000 (  3.6%),3450,2405,1765,790,980,155,490,1040,80,250,715
5350084.00,0084.00 (5350084.00)   00000 (  5.0%),2995,2270,1700,695,1000,130,445,720,70,195,455
5350085.00,0085.00 (5350085.00)   00000 (  3.7%),3500,2135,1635,900,730,140,365,1365,75,295,1000
5350086.00,0086.00 (5350086.00)   00000 (  2.6%),2130,1855,1315,505,815,85,455,275,20,115,145
5350087.00,0087.00 (5350087.00)   00100 (  3.9%),4525,3270,2580,1590,990,125,560,1255,60,180,1015
5350088.00,0088.00 (5350088.00)   00000 (  6.7%),2915,1700,1395,1015,380,105,200,1215,90,240,885
5350089.00,0089.00 (5350089.00)   00100 (  9.4%),3515,1975,1625,1265,365,105,250,1540,60,120,1360
5350090.00,0090.00 (5350090.00)   00000 (  7.0%),3625,2125,1735,1215,525,125,270,1500,40,200,1260
5350091.01,0091.01 (5350091.01)   01100 ( 11.2%),5030,2625,2185,1655,525,140,300,2405,90,580,1740
5350091.02,0091.02 (5350091.02)   00100 (  5.4%),3095,1425,1110,770,335,125,195,1665,65,460,1145
5350092.00,0092.00 (5350092.00)   00100 (  5.3%),6455,3370,2740,1715,1025,170,460,3085,180,1210,1695
5350093.00,0093.00 (5350093.00)   00000 (  6.3%),4575,3040,2230,1040,1185,230,585,1530,140,710,680
5350094.00,0094.00 (5350094.00)   00000 (  3.6%),4340,2985,2030,985,1040,280,675,1350,145,655,555
5350095.00,0095.00 (5350095.00)   00100 (  4.8%),2755,1785,1320,730,590,125,335,970,90,495,380
5350096.01,0096.01 (5350096.01)   00100 (  2.8%),1445,1000,700,315,385,75,225,450,65,200,180
5350096.02,0096.02 (5350096.02)   00100 (  3.8%),2950,1945,1380,755,625,165,410,1000,140,480,380
5350097.01,0097.01 (5350097.01)   00100 (  5.9%),3605,2380,1605,700,895,210,575,1220,140,610,465
5350097.03,0097.03 (5350097.03)   00100 (  4.9%),1085,505,310,130,185,70,125,580,45,120,415
5350097.04,0097.04 (5350097.04)   00100 (  4.2%),4795,3175,2330,1260,1070,225,620,1615,155,625,835
5350098.00,0098.00 (5350098.00)   00000 (  3.8%),6095,4315,2990,1385,1605,400,930,1775,200,620,960
5350099.00,0099.00 (5350099.00)   00000 (  3.9%),5630,3585,2750,1390,1365,280,555,2050,130,530,1385
5350100.00,0100.00 (5350100.00)   00100 (  7.1%),2450,1585,1235,680,555,130,220,860,60,165,635
5350101.00,0101.00 (5350101.00)   00000 (  4.1%),2690,1815,1395,760,640,130,285,885,50,300,525
5350102.02,0102.02 (5350102.02)   00000 (  5.0%),3890,2190,1680,1170,500,210,300,1700,60,290,1350
5350102.03,0102.03 (5350102.03)   00000 (  4.1%),3305,2055,1600,1040,560,175,280,1250,65,165,1025
5350102.04,0102.04 (5350102.04)   00000 (  3.1%),570,420,335,175,155,20,70,150,20,45,85
5350102.05,0102.05 (5350102.05)   00000 (  3.0%),690,515,420,175,245,20,70,175,15,65,90
5350103.00,0103.00 (5350103.00)   00000 (  4.7%),4895,3740,2885,1365,1520,185,670,1155,90,250,810
5350104.00,0104.00 (5350104.00)   00000 (  2.1%),4375,3645,2745,915,1830,175,720,730,85,190,455
5350105.00,0105.00 (5350105.00)   00100 (  7.0%),3650,2735,2025,860,1165,170,540,915,120,270,525
5350106.00,0106.00 (5350106.00)   00000 (  3.4%),3210,2485,1520,550,970,265,700,730,135,290,300
5350107.00,0107.00 (5350107.00)   00100 (  3.4%),4320,3500,2155,775,1385,340,1005,825,210,295,320
5350108.00,0108.00 (5350108.00)   00100 (  3.5%),5095,3620,2250,955,1295,425,950,1475,190,405,880
5350109.00,0109.00 (5350109.00)   00000 (  3.2%),4765,3625,2515,1175,1335,320,785,1140,180,470,485
5350110.00,0110.00 (5350110.00)   00100 (  3.2%),3100,2315,1595,755,840,215,510,780,85,340,360
5350111.00,0111.00 (5350111.00)   00100 (  3.8%),2130,1800,1175,470,705,165,460,335,75,90,165
5350112.00,0112.00 (5350112.00)   00000 (  3.9%),4575,3580,2385,990,1390,305,885,1005,145,390,460
5350113.00,0113.00 (5350113.00)   00000 (  3.3%),2365,1735,1175,525,655,140,420,630,65,265,300
5350114.00,0114.00 (5350114.00)   00000 (  5.0%),4390,2920,2095,1015,1080,250,570,1465,105,435,930
5350115.00,0115.00 (5350115.00)   00000 (  8.1%),3440,2550,1570,695,880,300,670,895,125,355,415
5350116.00,0116.00 (5350116.00)   00000 (  9.2%),3510,2415,1790,940,850,195,430,1095,75,295,725
5350117.00,0117.00 (5350117.00)   00000 (  4.1%),1925,1245,1020,610,400,75,160,680,25,200,450
5350118.00,0118.00 (5350118.00)   00000 (  4.4%),3590,2510,1970,1220,755,130,410,1080,55,245,775
5350119.00,0119.00 (5350119.00)   00000 (  4.2%),4070,2745,2140,1295,840,110,490,1325,60,215,1045
5350120.00,0120.00 (5350120.00)   00000 (  2.7%),1180,900,725,405,325,45,125,280,15,40,230
5350121.00,0121.00 (5350121.00)   00000 (  5.7%),2285,1420,1185,820,365,75,155,870,35,105,730
5350122.00,0122.00 (5350122.00)   00000 (  3.3%),5595,3415,2790,1845,950,190,440,2175,95,430,1650
5350123.00,0123.00 (5350123.00)   00000 (  5.2%),2115,1015,835,625,210,80,100,1095,55,180,865
5350124.00,0124.00 (5350124.00)   00000 (  4.2%),4895,2710,2275,1660,615,150,285,2180,65,245,1870
5350125.00,0125.00 (5350125.00)   00000 (  1.5%),3535,3160,2270,815,1455,130,765,375,35,95,255
5350126.00,0126.00 (5350126.00)   00000 (  2.1%),3340,2685,2045,730,1320,165,470,655,70,140,450
5350127.00,0127.00 (5350127.00)   00000 (  2.0%),4360,3460,2595,930,1660,210,660,900,65,165,665
5350128.02,0128.02 (5350128.02)   00000 (  6.2%),7520,4440,3560,2260,1295,290,585,3075,230,405,2440
5350128.04,0128.04 (5350128.04)   00000 (  4.9%),4235,2155,1700,1210,490,195,255,2075,90,255,1730
5350128.05,0128.05 (5350128.05)   01000 ( 14.8%),605,460,350,170,180,30,80,145,15,50,80
5350128.06,0128.06 (5350128.06)   00000 (  3.6%),3820,1945,1600,1010,590,140,205,1875,130,365,1380
5350129.00,0129.00 (5350129.00)   00000 (  3.0%),4845,3530,2680,1310,1370,220,630,1315,100,270,945
5350130.00,0130.00 (5350130.00)   00000 (  5.4%),2905,2460,1710,730,975,110,645,445,25,120,295
5350131.00,0131.00 (5350131.00)   00000 (  3.0%),4560,3370,2525,1285,1240,145,695,1190,75,250,865
5350132.00,0132.00 (5350132.00)   00000 (  2.7%),4425,3535,2495,910,1585,215,830,885,120,280,495
5350133.00,0133.00 (5350133.00)   00000 (  3.3%),6190,4225,2945,1310,1630,360,920,1965,160,370,1435
5350134.00,0134.00 (5350134.00)   00000 (  2.6%),2215,1925,1495,490,1005,85,345,290,35,80,175
5350135.00,0135.00 (5350135.00)   00000 (  3.5%),5155,3350,2605,1270,1330,205,545,1805,90,285,1425
5350136.01,0136.01 (5350136.01)   00000 (  4.3%),5695,2930,2230,1530,700,275,430,2760,155,480,2125
5350136.02,0136.02 (5350136.02)   00000 (  4.4%),4675,2320,1785,1265,520,200,335,2355,120,310,1920
5350137.00,0137.00 (5350137.00)   00000 (  3.6%),6080,4070,3115,1590,1525,245,710,2010,115,350,1545
5350138.00,0138.00 (5350138.00)   00000 (  1.9%),2590,2180,1500,600,905,95,590,405,35,55,310
5350139.01,0139.01 (5350139.01)   00000 (  2.9%),3450,2650,1940,825,1115,150,565,800,40,75,685
5350139.02,0139.02 (5350139.02)   00000 (  2.6%),2030,1735,1200,390,810,85,450,295,25,60,205
5350140.00,0140.00 (5350140.00)   00000 (  2.0%),1990,1820,1245,425,820,65,510,170,15,65,95
5350141.01,0141.01 (5350141.01)   00000 (  1.9%),3350,2820,2145,750,1400,160,520,530,60,100,365
5350141.02,0141.02 (5350141.02)   00000 (  1.8%),3420,3050,2225,660,1570,150,665,370,45,55,270
5350142.00,0142.00 (5350142.00)   00000 (  3.1%),4505,3700,2750,880,1870,185,765,805,50,115,635
5350150.00,0150.00 (5350150.00)   00000 (  2.0%),3355,2805,2115,795,1325,130,560,555,60,140,360
5350151.00,0151.00 (5350151.00)   00000 (  3.7%),2920,2285,1340,480,860,385,565,640,105,75,455
5350152.00,0152.00 (5350152.00)   00000 (  2.5%),3650,3025,2240,920,1320,220,570,620,85,145,385
5350153.00,0153.00 (5350153.00)   00000 (  3.6%),3825,3045,1925,810,1115,300,815,780,145,205,430
5350154.00,0154.00 (5350154.00)   00000 (  3.2%),5400,3860,2500,1230,1275,435,925,1540,190,280,1070
5350155.00,0155.00 (5350155.00)   00000 (  5.0%),2525,1940,1085,390,700,260,595,585,80,80,420
5350156.01,0156.01 (5350156.01)   00000 (  4.3%),4615,3470,1885,700,1190,550,1030,1145,205,175,765
5350156.02,0156.02 (5350156.02)   00000 (  3.6%),2370,1845,1155,465,685,190,505,520,105,115,300
5350157.00,0157.00 (5350157.00)   00100 (  4.3%),2145,1690,1005,390,620,225,455,455,85,115,255
5350158.00,0158.00 (5350158.00)   00100 (  4.4%),2460,1680,1035,465,565,195,450,785,115,160,505
5350159.01,0159.01 (5350159.01)   00000 (  3.4%),2975,2440,1540,555,985,225,675,535,140,145,255
5350159.02,0159.02 (5350159.02)   00000 (  3.1%),3990,3260,2100,745,1350,295,870,725,150,185,390
5350160.00,0160.00 (5350160.00)   00000 (  3.9%),2590,2115,1435,520,915,160,515,480,90,130,255
5350161.00,0161.00 (5350161.00)   00000 (  3.0%),5830,4635,2995,1110,1885,440,1195,1190,270,350,570
5350162.00,0162.00 (5350162.00)   00000 (  5.2%),4205,3190,2015,805,1205,355,815,1015,175,305,540
5350163.00,0163.00 (5350163.00)   00000 (  3.5%),3705,2720,1845,775,1070,250,625,985,135,355,490
5350164.00,0164.00 (5350164.00)   00100 (  4.2%),5240,3970,2670,1155,1520,415,880,1265,180,430,655
5350165.00,0165.00 (5350165.00)   00000 (  3.4%),3655,2555,1845,790,1055,205,500,1100,95,305,700
5350166.00,0166.00 (5350166.00)   00000 (  4.1%),3325,2565,1900,705,1200,120,540,765,65,225,485
5350167.01,0167.01 (5350167.01)   00000 (  4.4%),1795,865,755,645,110,50,60,935,15,75,840
5350167.02,0167.02 (5350167.02)   00000 (  4.4%),5090,3045,2225,1285,940,295,530,2045,170,515,1355
5350168.00,0168.00 (5350168.00)   00100 (  3.6%),4695,3185,2005,815,1185,400,780,1505,175,360,965
5350169.01,0169.01 (5350169.01)   00000 (  4.3%),2995,2205,1420,590,835,225,560,790,155,265,370
5350169.02,0169.02 (5350169.02)   00000 (  3.2%),6455,4750,3055,1225,1830,500,1200,1705,250,360,1100
5350170.00,0170.00 (5350170.00)   00000 (  3.1%),2905,2305,1485,575,905,205,620,600,130,215,255
5350171.00,0171.00 (5350171.00)   00100 (  7.5%),3165,2460,1275,510,765,435,740,705,125,140,445
5350172.00,0172.00 (5350172.00)   00100 (  4.6%),2090,1460,825,325,500,260,380,630,90,120,420
5350173.00,0173.00 (5350173.00)   00100 (  5.3%),2960,2150,1120,380,735,415,620,810,150,235,425
5350174.00,0174.00 (5350174.00)   00000 (  6.1%),5755,4510,2445,905,1540,695,1370,1250,245,235,770
5350175.01,0175.01 (5350175.01)   00100 (  6.1%),4785,3380,1795,725,1075,590,995,1400,250,290,860
5350175.02,0175.02 (5350175.02)   00100 (  4.7%),6235,3950,2180,1005,1175,765,1010,2290,240,475,1570
5350176.00,0176.00 (5350176.00)   00000 (  3.8%),3590,2895,1865,760,1110,285,755,695,125,190,375
5350180.00,0180.00 (5350180.00)   00000 (  5.5%),5280,3745,2410,1055,1355,490,840,1540,225,380,940
5350181.01,0181.01 (5350181.01)   00000 (  3.1%),3675,2785,2065,960,1100,195,520,885,105,240,540
5350181.02,0181.02 (5350181.02)   00000 (  3.7%),3010,2130,1475,700,770,230,425,880,105,205,565
5350182.00,0182.00 (5350182.00)   00000 (  3.0%),4455,3590,2660,1065,1595,240,685,865,135,175,560
5350183.01,0183.01 (5350183.01)   00000 (  2.4%),2160,1745,1265,520,750,110,370,420,65,105,255
5350183.02,0183.02 (5350183.02)   00000 (  1.9%),3190,2615,1935,745,1185,170,510,585,90,130,360
5350184.01,0184.01 (5350184.01)   00000 (  3.4%),4245,3055,2175,1045,1125,315,570,1190,120,220,845
5350184.02,0184.02 (5350184.02)   00000 (  2.7%),3210,2375,1600,755,850,245,530,840,100,195,540
5350185.01,0185.01 (5350185.01)   00000 (  3.5%),5900,3885,2715,1360,1360,405,755,2020,180,395,1445
5350185.02,0185.02 (5350185.02)   00000 (  4.3%),3980,2645,1885,1025,860,235,525,1330,120,215,995
5350186.00,0186.00 (5350186.00)   00000 (  1.6%),1915,1595,1150,400,750,85,360,320,40,55,230
5350187.00,0187.00 (5350187.00)   00000 (  2.5%),2850,2310,1640,660,980,160,505,545,90,100,350
5350188.00,0188.00 (5350188.00)   00000 (  2.7%),1680,1305,935,365,570,85,290,375,60,90,225
5350189.00,0189.00 (5350189.00)   00000 (  4.2%),4440,3340,2100,955,1140,415,825,1095,160,325,620
5350190.01,0190.01 (5350190.01)   00000 (  2.9%),7250,5455,3920,1210,2705,400,1140,1795,290,545,965
5350190.02,0190.02 (5350190.02)   00000 (  3.3%),3920,2840,1755,735,1015,400,690,1080,155,270,660
5350191.00,0191.00 (5350191.00)   00000 (  2.8%),3570,2730,1875,800,1080,250,605,840,110,185,545
5350192.00,0192.00 (5350192.00)   00000 (  2.8%),790,495,335,130,205,40,120,290,30,45,215
5350193.00,0193.00 (5350193.00)   00000 (  2.4%),2675,2295,1470,410,1060,130,695,385,90,125,170
5350194.01,0194.01 (5350194.01)   00000 (  2.5%),3570,3110,2235,375,1865,150,720,460,125,140,190
5350194.02,0194.02 (5350194.02)   00000 (  5.3%),4380,3575,2450,670,1775,195,930,805,155,190,455
5350194.03,0194.03 (5350194.03)   00000 (  3.0%),2325,1630,995,305,690,220,415,690,95,125,465
5350194.04,0194.04 (5350194.04)   00000 (  2.3%),4975,3825,2690,920,1770,305,830,1155,165,180,805
5350195.01,0195.01 (5350195.01)   00000 (  2.8%),3425,2900,2040,590,1455,155,700,525,40,100,390
5350195.02,0195.02 (5350195.02)   00000 (  2.3%),1810,1510,1070,340,730,100,340,305,15,25,255
5350196.01,0196.01 (5350196.01)   00000 (  1.4%),1635,1360,960,340,615,65,335,280,25,35,220
5350196.02,0196.02 (5350196.02)   00000 (  2.7%),4565,3745,2690,990,1705,190,860,820,45,95,675
5350200.01,0200.01 (5350200.01)   00000 (  3.9%),5005,3115,2140,1375,765,395,575,1890,135,325,1430
5350200.02,0200.02 (5350200.02)   00000 (  4.4%),910,415,320,220,100,35,60,495,10,55,425
5350201.00,0201.00 (5350201.00)   00000 (  4.1%),4700,3055,2325,1335,990,245,485,1645,105,275,1265
5350202.00,0202.00 (5350202.00)   00000 (  2.5%),1340,1090,780,295,485,75,230,250,30,70,150
5350203.00,0203.00 (5350203.00)   00000 (  3.2%),2680,1905,1355,645,705,180,370,775,75,180,515
5350204.00,0204.00 (5350204.00)   00000 (  4.1%),3865,2600,1890,930,960,230,480,1265,85,245,935
5350206.01,0206.01 (5350206.01)   00000 (  3.5%),3670,2535,1770,950,820,270,490,1135,115,215,810
5350206.02,0206.02 (5350206.02)   00000 (  3.4%),5055,3405,2430,1220,1215,325,650,1650,140,445,1065
5350207.00,0207.00 (5350207.00)   00000 (  3.2%),2295,1515,1030,495,535,155,335,780,65,295,415
5350208.00,0208.00 (5350208.00)   00000 (  3.7%),3515,2315,1295,560,735,395,615,1205,110,240,850
5350209.00,0209.00 (5350209.00)   00000 (  4.0%),2335,1540,1000,450,550,175,370,790,85,175,535
5350210.01,0210.01 (5350210.01)   01000 ( 10.4%),2175,1855,1345,575,775,125,385,320,65,75,180
5350210.02,0210.02 (5350210.02)   00000 (  4.2%),10690,6245,5250,4010,1245,380,615,4445,220,510,3705
5350211.00,0211.00 (5350211.00)   00000 (  2.9%),5490,4460,2935,1230,1710,375,1145,1030,205,230,595
5350212.00,0212.00 (5350212.00)   00000 (  2.9%),4775,3880,2700,1115,1580,290,895,890,165,215,510
5350213.01,0213.01 (5350213.01)   00000 (  2.1%),2265,1890,1325,545,780,115,450,375,90,65,220
5350213.02,0213.02 (5350213.02)   00000 (  5.6%),5315,3495,2725,1745,980,255,510,1825,160,315,1355
