CTUID,Geography,Total - Family characteristics of adults (restricted to persons aged 15 and over),  Adults living in census families,    Married spouses and common-law partners,      Without children in their census family,      With children in their census family,    Lone parents (in lone-parent census families),"    Children in census families (as in sons, daughters or grandchildren)",  Adults not living in census families,    Living with other relatives,    Living with non-relatives only,    Living alone
5350455.00,0455.00 (5350455.00)   00000 (  4.2%),6475,5795,4240,1695,2545,275,1280,680,130,130,420
5350456.01,0456.01 (5350456.01)   00000 (  3.1%),3665,3295,2460,1125,1330,120,715,370,85,90,190
5350456.02,0456.02 (5350456.02)   00000 (  2.8%),5795,5190,3695,1415,2280,280,1215,600,145,145,310
5350456.03,0456.03 (5350456.03)   00000 (  3.5%),3410,3015,2140,970,1165,145,730,395,95,110,190
5350460.01,0460.01 (5350460.01)   00000 (  2.6%),5840,5330,3840,1345,2495,180,1305,510,105,85,320
5350460.02,0460.02 (5350460.02)   00000 (  4.0%),3030,2635,1865,830,1035,100,670,395,60,110,220
5350461.01,0461.01 (5350461.01)   00000 (  2.6%),4370,4015,2820,785,2040,150,1050,355,95,80,175
5350461.02,0461.02 (5350461.02)   00000 (  2.5%),6695,5905,4250,1895,2355,265,1385,790,110,170,505
5350470.00,0470.00 (5350470.00)   00000 (  3.6%),2390,2050,1545,825,720,110,390,345,55,70,220
5350471.00,0471.00 (5350471.00)   00000 (  4.1%),2740,2340,1745,900,845,100,490,400,85,90,225
5350472.00,0472.00 (5350472.00)   00000 (  2.7%),5915,5010,3610,1475,2135,405,995,905,155,285,460
5350473.01,0473.01 (5350473.01)   00000 (  2.3%),5180,4455,3005,995,2010,305,1145,720,145,150,425
5350473.02,0473.02 (5350473.02)   00000 (  2.8%),5720,4865,3175,1265,1910,480,1215,855,165,220,470
5350473.03,0473.03 (5350473.03)   00000 (  2.3%),3170,2580,1675,755,920,245,660,590,110,150,325
5350474.00,0474.00 (5350474.00)   00000 (  4.0%),4715,4045,2920,1520,1400,270,850,670,110,150,410
5350475.00,0475.00 (5350475.00)   00000 (  4.5%),5555,4445,3185,1700,1485,375,890,1115,150,240,730
5350476.01,0476.01 (5350476.01)   01200 ( 12.8%),210,170,105,55,50,25,35,45,0,5,40
5350476.02,0476.02 (5350476.02)   00000 (  4.4%),1890,1505,1125,665,460,105,280,380,45,85,250
5350480.01,0480.01 (5350480.01)   00000 (  4.0%),3480,2730,1890,940,950,240,590,755,105,160,490
5350480.02,0480.02 (5350480.02)   00000 (  3.4%),8225,7370,5435,1710,3720,385,1550,855,285,180,390
5350481.01,0481.01 (5350481.01)   00000 (  1.8%),6440,5830,4150,1220,2930,345,1335,615,230,155,225
5350481.02,0481.02 (5350481.02)   00000 (  3.4%),3580,2980,2065,945,1125,215,695,590,130,135,330
5350482.00,0482.00 (5350482.00)   00000 (  2.8%),6010,5365,3940,1590,2355,210,1210,645,175,165,300
5350483.01,0483.01 (5350483.01)   00000 (  2.2%),3930,3360,2330,935,1395,260,765,570,75,150,350
5350483.02,0483.02 (5350483.02)   00000 (  2.1%),2760,2415,1830,970,860,105,480,345,80,65,200
5350484.02,0484.02 (5350484.02)   00000 (  3.8%),4945,4370,3115,1345,1765,240,1015,570,100,115,355
5350484.03,0484.03 (5350484.03)   00000 (  2.2%),3650,3055,2715,2165,550,80,265,595,55,55,485
5350484.04,0484.04 (5350484.04)   00000 (  2.4%),760,670,485,235,250,30,160,80,15,25,45
5350485.01,0485.01 (5350485.01)   00000 (  3.0%),6190,5265,3790,1370,2420,400,1080,925,175,270,485
5350485.02,0485.02 (5350485.02)   00000 (  3.9%),5665,4545,3085,1450,1630,455,1010,1115,140,240,735
5350500.01,0500.01 (5350500.01)   00000 (  3.5%),2870,2020,1360,645,720,240,425,840,90,160,595
5350500.02,0500.02 (5350500.02)   00000 (  3.7%),4230,3105,2060,1070,985,370,680,1120,140,215,765
5350501.01,0501.01 (5350501.01)   00000 (  3.6%),4975,3855,2675,1390,1280,340,840,1120,120,185,820
5350501.02,0501.02 (5350501.02)   00000 (  2.0%),5780,5125,3490,1330,2160,270,1365,655,140,125,380
5350502.01,0502.01 (5350502.01)   00000 (  2.0%),4590,3880,2465,950,1515,350,1065,710,140,185,395
5350502.02,0502.02 (5350502.02)   00000 (  4.8%),2050,1680,1105,490,615,155,415,370,65,80,230
5350503.00,0503.00 (5350503.00)   00000 (  3.2%),4230,3455,2190,910,1285,340,925,770,165,195,405
5350504.00,0504.00 (5350504.00)   00000 (  2.1%),2750,2405,1625,560,1065,175,600,345,65,60,220
5350505.01,0505.01 (5350505.01)   00000 (  1.4%),3865,3635,2480,780,1700,130,1025,225,55,45,125
5350505.02,0505.02 (5350505.02)   00000 (  2.1%),4700,4395,3005,990,2015,155,1235,305,100,50,155
5350506.00,0506.00 (5350506.00)   00000 (  1.5%),2150,2010,1450,495,955,60,500,140,35,40,70
5350507.00,0507.00 (5350507.00)   00000 (  2.0%),3035,2660,1880,715,1165,155,625,365,70,70,230
5350508.00,0508.00 (5350508.00)   00000 (  2.3%),2670,2320,1575,645,925,175,575,350,80,65,200
5350509.01,0509.01 (5350509.01)   00000 (  2.4%),4260,3495,2395,990,1405,275,825,765,130,135,500
5350509.02,0509.02 (5350509.02)   00000 (  2.2%),2720,2280,1650,750,895,115,510,440,75,55,320
5350510.00,0510.00 (5350510.00)   00000 (  2.4%),4705,4165,2925,1215,1710,230,1010,535,85,115,335
5350511.01,0511.01 (5350511.01)   00000 (  2.9%),4925,3715,2445,940,1500,435,830,1210,145,225,840
5350511.02,0511.02 (5350511.02)   00000 (  2.5%),3965,3290,2020,800,1215,355,915,680,120,165,400
5350512.00,0512.00 (5350512.00)   00000 (  5.9%),4730,3825,2545,950,1595,330,950,910,160,185,560
5350513.01,0513.01 (5350513.01)   00000 (  2.4%),5965,5180,3555,1485,2070,280,1345,790,190,180,415
5350513.02,0513.02 (5350513.02)   00000 (  3.2%),5275,4225,2785,1135,1650,400,1045,1050,205,165,685
5350513.03,0513.03 (5350513.03)   00000 (  5.1%),2525,2080,1395,480,915,165,525,440,85,80,280
5350513.04,0513.04 (5350513.04)   00000 (  2.9%),3210,2815,1960,855,1110,165,690,395,125,120,150
5350514.01,0514.01 (5350514.01)   00000 (  2.0%),1985,1840,1315,555,760,60,460,150,45,35,70
5350514.02,0514.02 (5350514.02)   00000 (  2.4%),4415,3885,2465,710,1760,305,1115,530,135,125,265
5350515.01,0515.01 (5350515.01)   00000 (  2.7%),3630,3190,2185,935,1250,225,780,440,120,105,215
5350515.02,0515.02 (5350515.02)   00000 (  6.5%),3035,2485,1670,720,955,160,650,550,95,105,345
5350516.01,0516.01 (5350516.01)   00000 (  2.1%),4590,4190,2870,1015,1855,205,1115,400,105,85,215
5350516.02,0516.02 (5350516.02)   00000 (  1.4%),4055,3600,2315,720,1595,235,1055,460,125,130,200
5350516.03,0516.03 (5350516.03)   00000 (  2.1%),4760,3945,2575,1075,1500,395,985,820,160,135,520
5350516.04,0516.04 (5350516.04)   00000 (  2.5%),5185,4030,2675,1160,1510,410,945,1155,140,235,780
5350516.05,0516.05 (5350516.05)   00000 (  1.8%),5075,4445,2855,1035,1825,400,1195,630,175,115,345
5350516.06,0516.06 (5350516.06)   00000 (  5.7%),3905,3235,2040,760,1285,285,905,670,95,100,470
5350516.08,0516.08 (5350516.08)   00000 (  2.6%),5000,4190,2480,990,1500,460,1250,815,150,165,500
5350516.09,0516.09 (5350516.09)   00000 (  2.3%),5970,5020,3230,1325,1905,440,1355,950,200,235,510
5350516.11,0516.11 (5350516.11)   00000 (  2.7%),3870,3600,2420,885,1535,150,1030,270,75,65,125
5350516.16,0516.16 (5350516.16)   00100 (  9.0%),4630,3680,2540,1360,1180,235,905,945,110,305,530
5350516.17,0516.17 (5350516.17)   00000 (  3.6%),2975,2515,1635,710,920,205,675,465,75,55,335
5350516.18,0516.18 (5350516.18)   00000 (  2.1%),3010,2735,1845,680,1160,155,740,270,90,55,125
5350516.20,0516.20 (5350516.20)   00000 (  1.9%),5215,4835,3225,925,2300,210,1400,375,160,75,145
5350516.21,0516.21 (5350516.21)   00000 (  1.6%),2470,2315,1500,445,1055,95,720,155,70,25,65
5350516.22,0516.22 (5350516.22)   00000 (  1.9%),5620,5240,3410,745,2675,205,1620,380,175,60,140
5350516.23,0516.23 (5350516.23)   00000 (  1.6%),4715,4400,2840,775,2060,185,1375,315,145,50,120
5350516.24,0516.24 (5350516.24)   00000 (  1.3%),3485,3295,2185,690,1495,125,990,190,65,50,75
5350516.25,0516.25 (5350516.25)   00000 (  1.6%),3235,2930,1840,620,1220,205,880,310,75,80,150
5350516.26,0516.26 (5350516.26)   00000 (  1.9%),5625,5125,3100,920,2180,365,1660,495,175,115,205
5350516.28,0516.28 (5350516.28)   00000 (  1.2%),4085,3775,2385,625,1760,200,1190,310,115,60,135
5350516.29,0516.29 (5350516.29)   00000 (  2.1%),3980,3620,2080,495,1585,335,1200,365,120,60,185
5350516.30,0516.30 (5350516.30)   00000 (  1.2%),4935,4600,3070,855,2210,155,1380,335,155,70,110
5350516.31,0516.31 (5350516.31)   00000 (  2.5%),2415,2215,1510,605,910,90,610,200,65,45,90
5350516.32,0516.32 (5350516.32)   00000 (  1.3%),4100,3805,2395,570,1825,190,1225,295,130,60,105
5350516.37,0516.37 (5350516.37)   00000 (  2.1%),5075,4235,2835,1095,1740,295,1110,840,125,95,620
5350516.38,0516.38 (5350516.38)   00000 (  1.7%),5095,4570,3075,745,2330,215,1280,530,205,115,215
5350516.39,0516.39 (5350516.39)   00000 (  1.8%),3990,3720,2495,545,1950,165,1065,270,160,50,55
5350516.40,0516.40 (5350516.40)   00000 (  1.8%),5030,4690,3115,705,2410,220,1350,345,170,65,110
5350516.41,0516.41 (5350516.41)   00000 (  1.7%),4575,4205,2740,660,2080,210,1255,370,145,35,190
5350516.42,0516.42 (5350516.42)   00000 (  1.3%),6725,6310,4130,855,3280,260,1920,415,225,60,125
5350516.43,0516.43 (5350516.43)   00000 (  2.9%),3605,3165,1995,565,1430,165,1010,445,100,45,295
5350516.44,0516.44 (5350516.44)   00000 (  3.6%),4355,4020,2480,585,1890,235,1300,340,115,70,160
5350516.46,0516.46 (5350516.46)   00000 (  1.1%),5920,5565,3675,710,2965,180,1715,355,215,65,75
5350516.47,0516.47 (5350516.47)   00000 (  1.1%),3965,3720,2470,435,2035,135,1110,245,125,50,75
5350516.48,0516.48 (5350516.48)   00000 (  1.5%),5010,4580,3050,550,2500,195,1340,425,175,80,175
5350516.49,0516.49 (5350516.49)   00000 (  1.7%),6885,6145,4125,980,3140,320,1700,740,205,110,420
5350517.00,0517.00 (5350517.00)   00000 (  1.8%),1395,1240,825,325,500,95,320,160,45,30,85
