CTUID,Geography,Total  Highest certificate diploma or degree,  No certificate diploma or degree,  Secondary (high) school diploma or equivalency certificate,  Apprenticeship or trades certificate or diploma,  College CEGEP or other nonuniversity certificate or diploma,  University certificate or diploma below bachelor level,  University certificate diploma or degree at bachelor level or above,    Bachelor's degree,    University certificate diploma or degree above bachelor level
5350019,0019.00 (5350019.00)   00100 (  2.4%),2665,555,605,85,520,70,830,565,270
5350020,0020.00 (5350020.00)   00000 (  3.2%),2005,110,320,35,285,60,1195,715,485
5350021,0021.00 (5350021.00)   00001 (  5.8%),4420,365,940,115,765,120,2120,1280,835
5350022,0022.00 (5350022.00)   00000 (  2.3%),3150,310,620,55,455,40,1675,1030,645
5350023,0023.00 (5350023.00)   00000 (  1.4%),2560,195,460,60,305,50,1485,880,610
5350024,0024.00 (5350024.00)   00000 (  4.2%),5485,470,1075,195,875,105,2765,1795,970
5350025,0025.00 (5350025.00)   00000 (  1.2%),2800,330,565,110,525,105,1160,810,350
5350026,0026.00 (5350026.00)   00001 (  6.2%),5325,855,1175,185,935,100,2085,1410,670
5350027,0027.00 (5350027.00)   00000 (  3.3%),3635,840,740,80,620,70,1280,780,505
5350028.01,0028.01 (5350028.01)   00000 (  0.9%),1150,60,205,10,195,25,645,415,230
5350028.02,0028.02 (5350028.02)   00000 (  4.9%),5060,710,905,100,735,85,2525,1735,795
5350029,0029.00 (5350029.00)   00000 (  2.6%),5790,1175,1280,205,895,140,2100,1445,650
5350030,0030.00 (5350030.00)   00101 (  6.5%),3830,530,920,115,565,80,1620,1100,515
5350031,0031.00 (5350031.00)   00101 (  6.9%),5215,1340,1410,150,655,180,1470,955,510
5350032,0032.00 (5350032.00)   01111 ( 10.4%),3980,585,1060,155,555,135,1490,970,520
5350033,0033.00 (5350033.00)   01101 (  8.2%),3925,745,1110,195,670,60,1140,790,350
5350034.01,0034.01 (5350034.01)   01201 (  7.5%),3910,145,800,55,375,105,2430,1415,1015
5350034.02,0034.02 (5350034.02)   00101 (  8.4%),4555,260,965,130,675,120,2405,1510,890
5350035,0035.00 (5350035.00)   00101 (  7.3%),9145,260,2180,85,650,150,5815,3115,2705
5350036,0036.00 (5350036.00)   00101 (  6.9%),5180,540,1045,115,620,125,2740,1740,1005
5350037,0037.00 (5350037.00)   00112 ( 10.5%),4005,375,1065,90,475,135,1865,1215,650
5350038,0038.00 (5350038.00)   00112 ( 11.3%),3285,680,1030,90,380,65,1045,645,395
5350039,0039.00 (5350039.00)   00101 (  6.1%),3675,1260,1065,175,385,50,740,475,270
5350040,0040.00 (5350040.00)   00101 (  9.9%),4010,1060,1060,110,430,70,1290,800,495
5350041,0041.00 (5350041.00)   00001 (  7.2%),3095,600,680,80,325,60,1350,785,565
5350042,0042.00 (5350042.00)   00101 (  4.1%),4020,745,825,110,555,55,1740,1065,670
5350043,0043.00 (5350043.00)   00101 (  4.5%),3365,720,715,80,440,45,1365,860,500
5350044,0044.00 (5350044.00)   00101 (  7.8%),7780,840,1410,225,1200,170,3935,2765,1175
5350045,0045.00 (5350045.00)   00101 (  6.7%),2895,685,570,120,360,20,1140,725,420
5350046,0046.00 (5350046.00)   00001 (  6.4%),2975,865,795,95,430,40,755,525,230
5350047.02,0047.02 (5350047.02)   00101 (  7.2%),3245,800,880,125,440,80,915,550,360
5350047.03,0047.03 (5350047.03)   00000 (  2.3%),680,85,145,10,95,10,340,185,155
5350047.04,0047.04 (5350047.04)   00100 (  4.2%),2375,315,475,75,360,75,1080,670,405
5350048,0048.00 (5350048.00)   00001 (  4.3%),2915,280,590,130,400,80,1435,970,465
5350049,0049.00 (5350049.00)   01000 (  4.9%),2575,200,475,55,355,70,1420,870,550
5350050.01,0050.01 (5350050.01)   00000 (  3.1%),7575,470,1145,215,1235,220,4290,2525,1765
5350050.03,0050.03 (5350050.03)   00001 (  6.6%),920,30,120,40,160,10,560,330,235
5350050.04,0050.04 (5350050.04)   00000 (  2.7%),4070,435,745,145,660,110,1975,1145,830
5350051,0051.00 (5350051.00)   00001 (  6.0%),4670,435,900,125,690,105,2410,1520,895
5350052,0052.00 (5350052.00)   00000 (  2.7%),3360,325,625,105,520,60,1715,1045,670
5350053,0053.00 (5350053.00)   00101 (  8.1%),5190,1190,1075,185,785,105,1865,1265,595
5350054,0054.00 (5350054.00)   00101 (  6.5%),5240,965,1055,200,805,110,2095,1320,775
5350055,0055.00 (5350055.00)   00001 (  7.1%),2325,275,380,60,335,40,1225,755,475
5350056,0056.00 (5350056.00)   00101 (  5.2%),4365,825,875,80,580,80,1930,1300,635
5350057,0057.00 (5350057.00)   00101 (  5.8%),2085,205,450,55,205,55,1110,675,440
5350058,0058.00 (5350058.00)   00101 (  6.5%),3715,500,700,100,420,60,1945,1080,865
5350059,0059.00 (5350059.00)   00101 (  9.3%),2945,310,590,80,275,70,1605,945,655
5350060,0060.00 (5350060.00)   00101 (  8.7%),2535,140,455,35,235,95,1585,875,715
5350061,0061.00 (5350061.00)   02311 ( 10.2%),690,70,140,45,85,15,330,155,175
5350062.01,0062.01 (5350062.01)   00101 (  6.0%),5045,115,940,55,380,120,3435,1700,1735
5350062.02,0062.02 (5350062.02)   00101 (  6.9%),8635,300,2430,90,485,235,5090,3035,2055
5350063.03,0063.03 (5350063.03)   00101 (  6.4%),4820,115,810,140,560,155,3035,1880,1150
5350063.04,0063.04 (5350063.04)   00101 (  6.9%),3020,210,640,105,515,105,1440,930,515
5350063.05,0063.05 (5350063.05)   00101 (  6.0%),4320,125,910,80,495,105,2610,1590,1015
5350063.06,0063.06 (5350063.06)   00101 (  6.1%),4985,255,890,175,760,175,2730,1705,1025
5350064,0064.00 (5350064.00)   00101 (  5.3%),3955,240,740,80,690,105,2100,1285,815
5350065.01,0065.01 (5350065.01)   00101 (  7.3%),2240,140,500,65,400,95,1045,735,310
5350065.02,0065.02 (5350065.02)   00001 (  7.9%),9880,1660,2570,485,1560,440,3165,1990,1175
5350066,0066.00 (5350066.00)   00100 (  4.8%),6575,505,1445,215,1115,225,3075,1885,1185
5350067,0067.00 (5350067.00)   00001 (  5.5%),1480,75,225,35,205,40,900,405,495
5350068,0068.00 (5350068.00)   00000 (  2.9%),2140,190,400,80,275,70,1125,630,495
5350069,0069.00 (5350069.00)   00000 (  3.6%),4045,535,825,105,440,70,2070,1245,825
5350070,0070.00 (5350070.00)   00100 (  4.0%),2905,195,550,60,395,55,1645,950,705
5350071,0071.00 (5350071.00)   00000 (  3.7%),2785,305,480,65,435,35,1470,835,635
5350072.01,0072.01 (5350072.01)   00000 (  4.4%),3655,795,820,175,545,75,1245,855,395
5350072.02,0072.02 (5350072.02)   00000 (  2.8%),2625,385,525,105,375,50,1185,695,495
5350073,0073.00 (5350073.00)   00000 (  4.0%),2255,545,580,60,295,75,700,475,230
5350074,0074.00 (5350074.00)   00001 (  4.9%),3245,610,880,130,475,75,1080,725,355
5350075,0075.00 (5350075.00)   00000 (  4.2%),3350,495,655,100,600,75,1420,910,515
