CTUID,Geography,Total  Highest certificate diploma or degree,  No certificate diploma or degree,  Secondary (high) school diploma or equivalency certificate,  Apprenticeship or trades certificate or diploma,  College CEGEP or other nonuniversity certificate or diploma,  University certificate or diploma below bachelor level,  University certificate diploma or degree at bachelor level or above,    Bachelor's degree,    University certificate diploma or degree above bachelor level
5350184.02,0184.02 (5350184.02)   00000 (  1.8%),3185,545,870,145,565,100,955,620,335
5350185.01,0185.01 (5350185.01)   00000 (  4.3%),5925,1045,1360,300,1060,115,2050,1305,740
5350185.02,0185.02 (5350185.02)   00000 (  4.5%),3950,620,935,185,645,105,1460,910,550
5350186,0186.00 (5350186.00)   00000 (  3.2%),1935,120,410,15,235,55,1105,605,495
5350187,0187.00 (5350187.00)   00000 (  0.9%),2910,510,660,140,525,110,965,655,310
5350188,0188.00 (5350188.00)   00000 (  2.2%),1645,290,400,105,290,50,520,400,115
5350189,0189.00 (5350189.00)   00000 (  3.7%),4540,970,1125,250,850,165,1170,755,410
5350190.01,0190.01 (5350190.01)   00000 (  5.4%),7250,1135,1650,250,1025,210,2985,1450,1535
5350190.02,0190.02 (5350190.02)   00000 (  3.6%),3835,705,1225,230,760,95,815,605,215
5350191,0191.00 (5350191.00)   00000 (  1.5%),3670,615,1015,190,795,75,980,680,305
5350192,0192.00 (5350192.00)   00000 (  1.2%),775,170,255,55,120,0,160,115,50
5350193,0193.00 (5350193.00)   00000 (  2.9%),2580,440,605,120,470,100,845,580,265
5350194.01,0194.01 (5350194.01)   00000 (  3.6%),3760,940,1050,70,320,95,1280,715,565
5350194.02,0194.02 (5350194.02)   00000 (  5.1%),4185,930,1105,125,575,130,1330,700,630
5350194.03,0194.03 (5350194.03)   00000 (  6.7%),2250,470,700,95,345,75,570,420,150
5350194.04,0194.04 (5350194.04)   00000 (  3.0%),5050,855,1160,115,830,200,1895,1295,605
5350195.01,0195.01 (5350195.01)   00000 (  4.4%),3510,380,670,65,455,85,1850,1100,755
5350195.02,0195.02 (5350195.02)   00000 (  2.8%),1860,150,265,20,255,85,1085,735,350
5350196.01,0196.01 (5350196.01)   00000 (  4.9%),1555,135,265,40,215,20,870,455,410
5350196.02,0196.02 (5350196.02)   00000 (  3.4%),4500,340,735,70,525,75,2760,1770,995
5350200.01,0200.01 (5350200.01)   00000 (  5.0%),5020,710,1240,315,960,170,1635,1050,585
5350200.02,0200.02 (5350200.02)   00001 (  6.2%),970,100,295,45,210,20,310,215,95
5350201,0201.00 (5350201.00)   00001 (  7.9%),4755,680,900,225,960,140,1850,1215,635
5350202,0202.00 (5350202.00)   00001 (  6.4%),1345,120,310,55,265,20,575,380,195
5350203,0203.00 (5350203.00)   00000 (  6.6%),2565,420,665,150,505,55,775,520,255
5350204,0204.00 (5350204.00)   00001 (  6.7%),3815,520,940,155,750,120,1330,920,415
5350206.01,0206.01 (5350206.01)   00000 (  3.7%),3590,575,975,195,685,105,1055,640,420
5350206.02,0206.02 (5350206.02)   00000 (  4.2%),5130,750,1365,260,1115,120,1530,1095,435
5350207,0207.00 (5350207.00)   00001 (  3.6%),2305,440,555,130,540,85,560,435,120
5350208,0208.00 (5350208.00)   00001 (  7.6%),3550,645,1010,180,735,90,900,635,265
5350209,0209.00 (5350209.00)   00001 (  7.0%),2285,510,655,120,520,45,430,270,155
5350210.01,0210.01 (5350210.01)   01000 (  2.7%),2225,400,480,110,430,45,755,480,280
5350210.02,0210.02 (5350210.02)   00000 (  5.3%),10665,625,1880,380,2225,335,5220,3435,1785
5350211,0211.00 (5350211.00)   00001 (  7.2%),5490,1190,1625,375,1045,140,1125,835,285
5350212,0212.00 (5350212.00)   00000 (  6.8%),4775,820,1335,310,1050,90,1170,820,345
5350213.01,0213.01 (5350213.01)   00000 (  2.0%),2290,350,500,115,425,55,845,510,335
5350213.02,0213.02 (5350213.02)   00000 (  3.8%),5280,330,890,150,1015,215,2690,1890,800
5350214,0214.00 (5350214.00)   00000 (  3.5%),4485,565,990,200,785,125,1825,1250,575
5350215,0215.00 (5350215.00)   00000 (  3.5%),5710,925,1315,310,1030,160,1970,1355,615
5350216,0216.00 (5350216.00)   00000 (  1.7%),4545,425,825,150,680,125,2340,1495,850
5350217,0217.00 (5350217.00)   00000 (  3.9%),4825,770,1285,235,985,135,1410,780,630
5350218,0218.00 (5350218.00)   00000 (  3.9%),2100,160,310,55,335,55,1185,635,555
5350219,0219.00 (5350219.00)   00000 (  3.6%),3665,450,825,120,600,85,1590,1075,510
5350220,0220.00 (5350220.00)   00000 (  1.8%),3575,435,915,180,660,70,1320,865,455
5350221.01,0221.01 (5350221.01)   00000 (  1.6%),5540,630,1340,230,995,130,2210,1525,680
5350221.02,0221.02 (5350221.02)   00000 (  3.7%),4150,665,1145,150,790,145,1255,855,395
5350222.01,0222.01 (5350222.01)   00000 (  5.1%),5630,630,1620,240,1060,185,1900,1345,550
5350222.02,0222.02 (5350222.02)   00001 (  6.9%),3890,670,985,285,565,105,1280,875,405
5350223.01,0223.01 (5350223.01)   00000 (  4.1%),1270,135,255,45,195,35,610,360,250
5350223.02,0223.02 (5350223.02)   00000 (  2.7%),1835,220,370,75,335,65,770,505,265
5350224,0224.00 (5350224.00)   00000 (  1.7%),1405,155,225,35,135,25,815,480,335
5350225.01,0225.01 (5350225.01)   00000 (  2.7%),4435,570,885,195,745,130,1915,1145,765
5350225.02,0225.02 (5350225.02)   00000 (  6.5%),8300,985,1930,370,1480,215,3310,2100,1210
5350226,0226.00 (5350226.00)   00000 (  6.0%),2500,200,430,50,365,90,1360,770,590
5350227,0227.00 (5350227.00)   00000 (  3.2%),1525,130,200,15,165,25,990,585,410
5350228,0228.00 (5350228.00)   00000 (  5.1%),2665,175,505,90,355,45,1495,885,610
5350229,0229.00 (5350229.00)   00000 (  3.8%),895,45,155,10,90,10,595,365,225
5350230.01,0230.01 (5350230.01)   00000 (  2.6%),2025,190,355,70,310,85,1020,565,450
5350230.02,0230.02 (5350230.02)   00001 (  7.2%),5545,1015,1545,330,940,100,1620,965,655
5350231,0231.00 (5350231.00)   00000 (  2.0%),5505,520,1275,215,805,140,2555,1630,930
5350232,0232.00 (5350232.00)   00000 (  1.5%),3170,330,625,75,415,95,1635,925,710
5350233,0233.00 (5350233.00)   00000 (  2.0%),4700,470,1145,165,730,155,2030,1350,675
5350234,0234.00 (5350234.00)   00000 (  2.2%),3660,560,885,105,730,95,1295,875,420
5350235.01,0235.01 (5350235.01)   00000 (  3.9%),2415,425,635,170,450,65,670,475,195
5350235.02,0235.02 (5350235.02)   00000 (  5.4%),4660,760,1390,265,950,85,1205,845,360
5350236.01,0236.01 (5350236.01)   00000 (  5.6%),5625,1065,1575,340,970,220,1455,955,495
5350236.02,0236.02 (5350236.02)   00000 (  2.4%),5160,695,1305,310,905,195,1750,1160,590
5350237.01,0237.01 (5350237.01)   00000 (  3.8%),5370,1105,1640,340,905,120,1255,890,360
5350237.02,0237.02 (5350237.02)   00000 (  3.2%),2500,545,695,160,360,65,680,465,220
5350237.03,0237.03 (5350237.03)   00000 (  4.0%),4905,970,1460,355,915,135,1075,735,345
5350238.01,0238.01 (5350238.01)   00000 (  1.5%),2960,315,710,120,425,85,1300,870,435
5350238.02,0238.02 (5350238.02)   00000 (  6.0%),4335,830,1300,245,755,100,1105,710,395
5350239,0239.00 (5350239.00)   00001 (  8.0%),5190,1000,1585,270,1020,170,1140,820,325
5350240.01,0240.01 (5350240.01)   00000 (  1.1%),2845,510,700,150,465,60,960,700,265
